,ID,Relation,Source,Target,PT
0,L02_1,hypernyms - misc,armchair,,poltrona
1,,,,chair,cadeira
2,,,,seat,banco
3,,,,piece_of_furniture,peça_de_mobiliário
4,,,,article_of_furniture,artigo_de_mobiliário
5,,,,furnishing,mobiliário
6,,,,artifact,artefacto
7,,,,artefact,DUPLICATE_artefacto
8,,,,unit,unidade
9,,,,object,objeto
10,,,,physical_object,objeto_físico
11,,,,physical_entity,entidade_física
12,,,,entity,entidade
14,L02_2,hypernyms - misc,blender,,liquidificador
15,,,,appliance,aparelho
16,,,,mixer,misturador
17,,,,kitchen_utensil,utensílio_de_cozinha
18,,,,utensil,utensílio
19,,,,implement,instrumento
20,,,,artifact,artefacto
21,,,,artefact,DUPLICATE_artefacto
22,,,,unit,unidade
23,,,,object,objeto
24,,,,physical_object,objeto_físico
25,,,,physical_entity,entidade_física
26,,,,entity,entidade
28,L02_3,hypernyms - misc,bracelet,,pulseira
29,,,,jewelry,jóias
30,,,,band,anel
31,,,,strip,faixa
32,,,,slip,NO_TRANSLATION
33,,,,artifact,artefacto
34,,,,artefact,DUPLICATE_artefacto
35,,,,unit,unidade
36,,,,object,objeto
37,,,,physical_object,objeto_físico
38,,,,physical_entity,entidade_física
39,,,,entity,entidade
40,,,,jewellery,DUPLICATE_jóias
41,,,,adornment,adorno
42,,,,decoration,decoração
43,,,,ornament,ornamento
44,,,,ornamentation,ornamentação
46,L02_4,hypernyms - misc,brooch,,broche
47,,,,jewelry,jóias
48,,,,jewellery,DUPLICATE_jóias
49,,,,adornment,adorno
50,,,,decoration,decoração
51,,,,ornament,ornamento
52,,,,ornamentation,ornamentação
53,,,,artifact,artefacto
54,,,,artefact,DUPLICATE_artefacto
55,,,,unit,unidade
56,,,,object,objeto
57,,,,physical_object,objeto_físico
59,L02_5,hypernyms - misc,cake,,bolo
60,,,,dessert,sobremesa
61,,,,baked_goods,produtos_cozinhados
62,,,,food,comida
63,,,,solid_food,comida_sólida
64,,,,course,prato
65,,,,nutriment,alimento
66,,,,nourishment,nutrição
67,,,,nutrition,DUPLICATE_nutrição
68,,,,sustenance,DUPLICATE_alimento
69,,,,aliment,DUPLICATE_alimento
70,,,,alimentation,alimentação
71,,,,victuals,mantimentos
72,,,,nutrient,nutriente
73,,,,substance,substância
74,,,,matter,matéria
75,,,,physical_entity,entidade_física
76,,,,entity,entidade
78,L02_6,hypernyms - misc,computer,,computador
79,,,,device,dispositivo
80,,,,machine,máquina
81,,,,gadget,gadget
82,,,,artifact,artefacto
83,,,,artefact,DUPLICATE_artefacto
84,,,,unit,unidade
85,,,,object,objeto
86,,,,physical_object,objeto_físico
87,,,,physical_entity,entidade_física
88,,,,entity,entidade
89,,,,expert,especialista
90,,,,person,pessoa
91,,,,individual,indivíduo
92,,,,someone,alguém
93,,,,somebody,DUPLICATE_alguém
94,,,,mortal,mortal
95,,,,soul,alma
96,,,,causal_agent,agente_causal
97,,,,cause,causa
98,,,,causal_agency,agência_causal
99,,,,organism,organismo
100,,,,being,ser
101,,,,living_thing,coisa_viva
102,,,,animate_thing,coisa_animada
104,L02_7,hypernyms - misc,croissant,,croissant
105,,,,pastry,pastelaria
106,,,,bun,pão
107,,,,roll,DUPLICATE_pão
108,,,,bread,DUPLICATE_pão
109,,,,breadstuff,produto_de_cereais
110,,,,staff_of_life,esteio_da_vida
111,,,,baked_goods,produtos_cozinhados
112,,,,starches,amidos
113,,,,food,comida
114,,,,solid_food,comida_sólida
115,,,,foodstuff,produtos_alimentícios
116,,,,food_product,produto_alimentar
117,,,,solid,sólido
118,,,,nutrient,nutriente
119,,,,matter,matéria
120,,,,substance,substância
121,,,,physical_entity,entidade_física
122,,,,entity,entidade
124,L02_8,hypernyms - misc,cup,,chávena
125,,,,tableware,serviço_de_mesa
126,,,,crockery,louça
127,,,,dishware,DUPLICATE_louça
128,,,,ware,porcelana
129,,,,article,artigo
130,,,,artifact,artefacto
131,,,,artefact,DUPLICATE_artefacto
132,,,,unit,unidade
133,,,,object,objeto
134,,,,physical_object,objeto_físico
135,,,,physical_entity,entidade_física
136,,,,entity,entidade
137,,,,container,recipiente
139,L02_9,hypernyms - misc,denim,,ganga
140,,,,fabric,tecido
141,,,,cloth,pano
142,,,,material,material
143,,,,textile,DUPLICATE_tecido
144,,,,artifact,artefacto
145,,,,artefact,DUPLICATE_artefacto
146,,,,unit,unidade
147,,,,object,objeto
148,,,,physical_object,objeto_físico
149,,,,physical_entity,entidade_física
150,,,,entity,entidade
151,,,,garment,vestuário
152,,,,clothing,roupa
153,,,,article_of_clothing,peça_de_roupa
154,,,,vesture,vestimenta
155,,,,wear,DUPLICATE_roupa
156,,,,wearable,vestível
157,,,,habiliment,traje
158,,,,consumer_goods,bens_de_consumo
159,,,,covering,DUPLICATE_vestuário
160,,,,commodity,produto
161,,,,trade_good,bem_comercial
162,,,,good,bem
164,L02_10,hypernyms - misc,deodorant,,desodorizante
165,,,,toiletry,artigos_de_toalete
166,,,,toilet_articles,DUPLICATE_artigos_de_toalete
167,,,,artifact,artefacto
168,,,,artefact,DUPLICATE_artefacto
169,,,,unit,unidade
170,,,,object,objeto
171,,,,physical_object,objeto_físico
172,,,,physical_entity,entidade_física
173,,,,entity,entidade
175,L02_11,hypernyms - misc,desk,,secretária
176,,,,furniture,mobília
177,,,,table,mesa
178,,,,piece_of_furniture,peça_de_mobiliário
179,,,,article_of_furniture,artigo_de_mobiliário
180,,,,furnishing,mobiliário
181,,,,artifact,artefacto
182,,,,artefact,DUPLICATE_artefacto
183,,,,unit,unidade
184,,,,object,objeto
185,,,,physical_object,objeto_físico
186,,,,physical_entity,entidade_física
187,,,,entity,entidade
189,L02_12,hypernyms - misc,diary,,diário
190,,,,journal,DUPLICATE_diário
191,,,,writing,escrita
192,,,,written_material,material_escrito
193,,,,piece_of_writing,pedaço_de_escrita
194,,,,written_communication,comunicação_escrita
195,,,,written_language,linguagem_escrita
196,,,,black_and_white,preto_e_branco
197,,,,communication,comunicação
198,,,,abstraction,abstração
199,,,,abstract_entity,entidade_abstrata
200,,,,entity,entidade
201,,,,book,livro
202,,,,volume,volume
203,,,,product,produto
204,,,,production,produção
205,,,,creation,criação
206,,,,artifact,artefacto
207,,,,artefact,DUPLICATE_artefacto
208,,,,unit,unidade
209,,,,object,objeto
210,,,,physical_object,objeto_físico
211,,,,physical_entity,entidade_física
213,L02_13,hypernyms - misc,dishwasher,,máquina_de_lavar_louça
214,,,,appliance,aparelho
215,,,,machine,máquina
216,,,,entity,entidade
217,,,,unit,unidade
218,,,,object,objeto
219,,,,physical_object,objeto_físico
220,,,,white_goods,linha_branca
221,,,,home_appliance,eletrodoméstico
222,,,,household_appliance,DUPLICATE_eletrodoméstico
223,,,,durables,bens_duráveis
224,,,,durable_goods,DUPLICATE_bens_duráveis
225,,,,consumer_durables,bens_de_consumo_duráveis
226,,,,consumer_goods,bens_de_consumo
227,,,,commodity,produto
228,,,,trade_good,bem_comercial
229,,,,good,bem
230,,,,artifact,artefacto
231,,,,artefact,DUPLICATE_artefacto
232,,,,physical_entity,entidade_física
235,L02_14,hypernyms - misc,dress,,vestido
236,,,,clothes,roupa
237,,,,garment,vestimenta
238,,,,clothing,vestuário
239,,,,article_of_clothing,artigo_de_roupa
240,,,,vesture,veste
241,,,,wear,DUPLICATE_roupa
242,,,,wearable,vestível
243,,,,habiliment,traje
244,,,,consumer_goods,bens_de_consumo
245,,,,covering,cobertura
246,,,,commodity,produto
247,,,,trade_good,bem_comercial
248,,,,good,bem
249,,,,artifact,artefacto
250,,,,artefact,DUPLICATE_artefacto
251,,,,unit,unidade
252,,,,object,objeto
253,,,,physical_object,objeto_físico
254,,,,physical_entity,entidade_física
255,,,,entity,entidade
265,L02_15,hypernyms - misc,fridge,,frigorífico
266,,,,appliance,aparelho
267,,,,icebox,geladeira
268,,,,white_goods,linha_branca
269,,,,home_appliance,eletrodoméstico
270,,,,household_appliance,DUPLICATE_eletrodoméstico
271,,,,durables,bens_duráveis
272,,,,durable_goods,DUPLICATE_bens_duráveis
273,,,,consumer_durables,bens_de_consumo_duráveis
274,,,,consumer_goods,bens_de_consumo
275,,,,commodity,produto
276,,,,trade_good,bem_comercial
277,,,,good,bem
278,,,,artifact,artefacto
279,,,,artefact,DUPLICATE_artefacto
280,,,,unit,unidade
281,,,,object,objeto
282,,,,physical_object,objecto_físico
283,,,,physical_entity,entidade_física
284,,,,entity,entidade
286,L02_16,hypernyms - misc,gasoline,,gasolina
287,,,,fuel,combustível
288,,,,hydrocarbon,hidrocarboneto
289,,,,substance,substância
291,,,,matter,matéria
292,,,,compound,composto
293,,,,chemical_compound,composto_químico
294,,,,physical_entity,entidade_física
295,,,,chemical,químico
296,,,,chemical_substance,substância_química
297,,,,entity,entidade
298,,,,material,material
299,,,,stuff,coisa
300,,,,part,parte
301,,,,portion,porção
