,Language,a,b,c,d,prompts
0,EN,armchair,chair,sofa,"['furniture', 'seat', 'piece_of_furniture', 'article_of_furniture', 'furnishing', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""armchair"" is to ""chair"" as ""sofa"" is to "
1,EN,hairnet,material,pie,"['pastry', 'baked_goods', 'food', 'solid_food', 'solid', 'matter', 'physical_entity', 'entity', 'indo-european', 'indo-european_language', 'indo-hittite', 'natural_language', 'language', 'linguistic_communication', 'communication', 'abstraction', 'abstract_entity']","""hairnet"" is to ""material"" as ""pie"" is to "
2,EN,tub,physical_entity,pie,"['pastry', 'baked_goods', 'food', 'solid_food', 'solid', 'matter', 'physical_entity', 'entity', 'indo-european', 'indo-european_language', 'indo-hittite', 'natural_language', 'language', 'linguistic_communication', 'communication', 'abstraction', 'abstract_entity']","""tub"" is to ""physical_entity"" as ""pie"" is to "
3,EN,toaster,physical_object,hairnet,"['net', 'network', 'mesh', 'meshing', 'meshwork', 'fabric', 'cloth', 'material', 'textile', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""toaster"" is to ""physical_object"" as ""hairnet"" is to "
4,EN,lemon,fruit,tv,"['device', 'machine', 'receiver', 'receiving_system', 'set', 'electronic_equipment', 'equipment', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity', 'broadcasting', 'telecommunication', 'telecom', 'medium']","""lemon"" is to ""fruit"" as ""tv"" is to "
5,EN,diary,written_communication,diary,"['journal', 'writing', 'written_material', 'piece_of_writing', 'written_communication', 'written_language', 'black_and_white', 'communication', 'abstraction', 'abstract_entity', 'entity', 'book', 'volume', 'product', 'production', 'creation', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity']","""diary"" is to ""written_communication"" as ""diary"" is to "
6,EN,diary,written_material,jacket,"['clothes', 'coat', 'overgarment', 'outer_garment', 'garment', 'clothing', 'article_of_clothing', 'vesture', 'wear', 'wearable', 'habiliment', 'consumer_goods', 'covering', 'commodity', 'trade_good', 'good', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""diary"" is to ""written_material"" as ""jacket"" is to "
7,EN,necklace,object,grapefruit,"['citrus', 'citrus_fruit', 'fruit', 'edible_fruit', 'produce', 'green_goods', 'green_groceries', 'food', 'matter', 'natural_object', 'physical_entity', 'unit', 'entity', 'object', 'physical_object']","""necklace"" is to ""object"" as ""grapefruit"" is to "
8,EN,shelf,physical_object,deodorant,"['toilet_articles', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""shelf"" is to ""physical_object"" as ""deodorant"" is to "
9,EN,pastry,edible_fruit,diary,"['journal', 'writing', 'written_material', 'piece_of_writing', 'written_communication', 'written_language', 'black_and_white', 'communication', 'abstraction', 'abstract_entity', 'entity', 'book', 'volume', 'product', 'production', 'creation', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity']","""pastry"" is to ""edible_fruit"" as ""diary"" is to "
10,EN,sidewalk,object,bracelet,"['jewelry', 'band', 'strip', 'slip', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity', 'adornment', 'decoration', 'ornament', 'ornamentation']","""sidewalk"" is to ""object"" as ""bracelet"" is to "
11,EN,hairnet,physical_entity,postcard,"['card', 'correspondence', 'first_class', '1st_class', 'first-class_mail', '1st-class_mail', 'written_communication', 'written_language', 'black_and_white', 'mail', 'communication', 'message', 'abstraction', 'abstract_entity', 'entity']","""hairnet"" is to ""physical_entity"" as ""postcard"" is to "
12,EN,desk,object,sweater,"['clothes', 'garment', 'clothing', 'article_of_clothing', 'vesture', 'wear', 'wearable', 'habiliment', 'consumer_goods', 'covering', 'commodity', 'trade_good', 'good', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'DUPLICATE_Entität']","""desk"" is to ""object"" as ""sweater"" is to "
13,EN,notebook,entity,gasoline,"['fuel', 'hydrocarbon', 'substance', 'organic_compound', 'matter', 'compound', 'chemical_compound', 'physical_entity', 'chemical', 'chemical_substance', 'entity', 'material', 'stuff', 'part', 'portion', 'component_part', 'component', 'constituent', 'relation', 'abstraction', 'abstract_entity']","""notebook"" is to ""entity"" as ""gasoline"" is to "
14,EN,tv,medium,hairpin,"['pin', 'fastener', 'fastening', 'holdfast', 'fixing', 'restraint', 'constraint', 'device', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""tv"" is to ""medium"" as ""hairpin"" is to "
15,EN,desk,furniture,notepad,"['pad', 'pad_of_paper', 'tablet', 'paper', 'material', 'stuff', 'substance', 'matter', 'part', 'component_part', 'component', 'physical_entity', 'relation', 'entity', 'abstraction', 'abstract_entity']","""desk"" is to ""furniture"" as ""notepad"" is to "
16,EN,gasoline,entity,sunscreen,"['cream', 'lotion', 'ointment', 'emollient', 'toilet_articles', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""gasoline"" is to ""entity"" as ""sunscreen"" is to "
17,EN,sofa,physical_entity,juicer,"['utensil', 'physical_entity', 'entity', 'unit', 'object', 'physical_object', 'squeezer', 'kitchen_utensil', 'implement', 'artifact']","""sofa"" is to ""physical_entity"" as ""juicer"" is to "
18,EN,dress,object,notebook,"['book', 'volume', 'product', 'production', 'creation', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity', 'portable_computer', 'personal_computer', 'pc', 'microcomputer', 'digital_computer', 'computer', 'computing_machine', 'data_processor', 'electronic_computer', 'information_processing_system', 'machine', 'device']","""dress"" is to ""object"" as ""notebook"" is to "
19,EN,toaster,object,computer,"['device', 'machine', 'gadget', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity', 'expert', 'person', 'individual', 'someone', 'somebody', 'mortal', 'soul', 'causal_agent', 'cause', 'organism', 'being', 'animate_thing']","""toaster"" is to ""object"" as ""computer"" is to "
20,EN,tv,machine,toothbrush,"['brush', 'toilet_articles', 'implement', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity', 'moustache', 'facial_hair', 'hair', 'body_covering', 'covering', 'natural_covering', 'cover', 'natural_object']","""tv"" is to ""machine"" as ""toothbrush"" is to "
21,EN,shirt,entity,notebook,"['book', 'volume', 'product', 'production', 'creation', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity', 'portable_computer', 'personal_computer', 'pc', 'microcomputer', 'digital_computer', 'computer', 'computing_machine', 'data_processor', 'electronic_computer', 'information_processing_system', 'machine', 'device']","""shirt"" is to ""entity"" as ""notebook"" is to "
22,EN,sidewalk,path,skirt,"['clothes', 'garment', 'clothing', 'article_of_clothing', 'vesture', 'wear', 'wearable', 'habiliment', 'consumer_goods', 'covering', 'commodity', 'trade_good', 'good', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""sidewalk"" is to ""path"" as ""skirt"" is to "
23,EN,photo,physical_entity,pastry,"['food', 'dough', 'concoction', 'mixture', 'intermixture', 'foodstuff', 'food_product', 'nutrient', 'substance', 'matter', 'physical_entity', 'entity', 'baked_goods', 'solid_food', 'solid']","""photo"" is to ""physical_entity"" as ""pastry"" is to "
24,EN,juicer,object,dress,"['clothes', 'garment', 'clothing', 'article_of_clothing', 'vesture', 'wear', 'wearable', 'habiliment', 'consumer_goods', 'covering', 'commodity', 'trade_good', 'good', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""juicer"" is to ""object"" as ""dress"" is to "
25,EN,pie,linguistic_communication,gasoline,"['fuel', 'hydrocarbon', 'substance', 'organic_compound', 'matter', 'compound', 'chemical_compound', 'physical_entity', 'chemical', 'chemical_substance', 'entity', 'material', 'stuff', 'part', 'portion', 'component_part', 'component', 'constituent', 'relation', 'abstraction', 'abstract_entity']","""pie"" is to ""linguistic_communication"" as ""gasoline"" is to "
26,EN,necklace,physical_object,computer,"['device', 'machine', 'gadget', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity', 'expert', 'person', 'individual', 'someone', 'somebody', 'mortal', 'soul', 'causal_agent', 'cause', 'organism', 'being', 'animate_thing']","""necklace"" is to ""physical_object"" as ""computer"" is to "
27,EN,skirt,covering,perfume,"['toilet_articles', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""skirt"" is to ""covering"" as ""perfume"" is to "
28,EN,sunscreen,ointment,sunscreen,"['cream', 'lotion', 'ointment', 'emollient', 'toilet_articles', 'artifact', 'unit', 'object', 'physical_object', 'physical_entity', 'entity']","""sunscreen"" is to ""ointment"" as ""sunscreen"" is to "
