,Language,a,b,c,d,prompts
0,EN,flower,bouquet,policeman,['police'],"""flower"" is to ""bouquet"" as ""policeman"" is to "
1,EN,soldier,army,tree,"['forest', 'wood', 'grove']","""soldier"" is to ""army"" as ""tree"" is to "
2,EN,kitten,litter,wolf,['pack'],"""kitten"" is to ""litter"" as ""wolf"" is to "
3,EN,book,method_of_accounting,bird,['flock'],"""book"" is to ""method_of_accounting"" as ""bird"" is to "
4,EN,photo,album,spouse,"['couple', 'relationship', 'family']","""photo"" is to ""album"" as ""spouse"" is to "
5,EN,spouse,relationship,employee,"['staff', 'company']","""spouse"" is to ""relationship"" as ""employee"" is to "
6,EN,secretary,staff,letter,['alphabet'],"""secretary"" is to ""staff"" as ""letter"" is to "
7,EN,word,sentence,flower,"['bouquet', 'bunch']","""word"" is to ""sentence"" as ""flower"" is to "
8,EN,person,world,spouse,"['couple', 'relationship', 'family']","""person"" is to ""world"" as ""spouse"" is to "
9,EN,county,country,juror,['jury'],"""county"" is to ""country"" as ""juror"" is to "
10,EN,calf,cattle,member,"['club', 'team', 'group', 'band', 'community']","""calf"" is to ""cattle"" as ""member"" is to "
11,EN,word,paragraph,division,"['company', 'business', 'platoon', 'battle_group']","""word"" is to ""paragraph"" as ""division"" is to "
12,EN,singer,band,singer,"['choir', 'band', 'duo', 'trio', 'quartet']","""singer"" is to ""band"" as ""singer"" is to "
13,EN,secretary,house,song,"['album', 'collection', 'antology', 'library']","""secretary"" is to ""house"" as ""song"" is to "
14,EN,book,shelf,member,"['club', 'team', 'group', 'band', 'community']","""book"" is to ""shelf"" as ""member"" is to "
15,EN,college,university,player,"['team', 'group', 'orchestra']","""college"" is to ""university"" as ""player"" is to "
16,EN,book,accounting,star,"['constellation', 'galaxy']","""book"" is to ""accounting"" as ""star"" is to "
17,EN,singer,quartet,car,"['train', 'procession']","""singer"" is to ""quartet"" as ""car"" is to "
18,EN,christian,church,elephant,['herd'],"""christian"" is to ""church"" as ""elephant"" is to "
19,EN,bee,hive,bee,"['swarm', 'hive', 'colony', 'drift', 'nest', 'rabble']","""bee"" is to ""hive"" as ""bee"" is to "
20,EN,goose,gaggle,bee,"['swarm', 'hive', 'colony', 'drift', 'nest', 'rabble']","""goose"" is to ""gaggle"" as ""bee"" is to "
21,EN,member,community,page,"['book', 'notebook', 'website', 'web-site']","""member"" is to ""community"" as ""page"" is to "
22,EN,singer,duo,photo,"['album', 'collection', 'library']","""singer"" is to ""duo"" as ""photo"" is to "
23,EN,student,class,page,"['book', 'notebook', 'website', 'web-site']","""student"" is to ""class"" as ""page"" is to "
24,EN,bee,colony,soldier,"['army', 'unit', 'division', 'troop']","""bee"" is to ""colony"" as ""soldier"" is to "
25,EN,singer,trio,lion,['pride'],"""singer"" is to ""trio"" as ""lion"" is to "
26,EN,song,album,employee,"['staff', 'company']","""song"" is to ""album"" as ""employee"" is to "
27,EN,christian,congregation,citizen,"['citizenry', 'country', 'state']","""christian"" is to ""congregation"" as ""citizen"" is to "
28,EN,christian,parish,book,"['library', 'shelf', 'collection', 'accounting', 'accounting_system', 'method_of_accounting']","""christian"" is to ""parish"" as ""book"" is to "
29,EN,sheep,flock,book,"['library', 'shelf', 'collection', 'accounting', 'accounting_system', 'method_of_accounting']","""sheep"" is to ""flock"" as ""book"" is to "
30,SL,roža,šopek,policist,['policija'],"Beseda ""roža"" je besedi ""šopek"" enako, kot je beseda ""policist"" besedi "
31,SL,vojak,vojska,drevo,"['gozd', 'les', 'nasad']","Beseda ""vojak"" je besedi ""vojska"" enako, kot je beseda ""drevo"" besedi "
32,SL,mucka,leglo,volk,['krdelo'],"Beseda ""mucka"" je besedi ""leglo"" enako, kot je beseda ""volk"" besedi "
33,SL,knjiga,metoda_zaračunavanja,ptica,['jata'],"Beseda ""knjiga"" je besedi ""metoda_zaračunavanja"" enako, kot je beseda ""ptica"" besedi "
34,SL,fotografija,album,zakonec,"['par', 'razmerje', 'družina']","Beseda ""fotografija"" je besedi ""album"" enako, kot je beseda ""zakonec"" besedi "
35,SL,zakonec,razmerje,zaposleni,"['osebje', 'podjetje']","Beseda ""zakonec"" je besedi ""razmerje"" enako, kot je beseda ""zaposleni"" besedi "
36,SL,sekretar,osebje,pismo,['abeceda'],"Beseda ""sekretar"" je besedi ""osebje"" enako, kot je beseda ""pismo"" besedi "
37,SL,beseda,stavek,roža,"['šopek', 'šop']","Beseda ""beseda"" je besedi ""stavek"" enako, kot je beseda ""roža"" besedi "
38,SL,oseba,svet,zakonec,"['par', 'razmerje', 'družina']","Beseda ""oseba"" je besedi ""svet"" enako, kot je beseda ""zakonec"" besedi "
39,SL,okrožje,država,porotnik,['porota'],"Beseda ""okrožje"" je besedi ""država"" enako, kot je beseda ""porotnik"" besedi "
40,SL,teleta,govedo,član,"['klub', 'ekipa', 'skupina', 'bend', 'skupnost']","Beseda ""teleta"" je besedi ""govedo"" enako, kot je beseda ""član"" besedi "
41,SL,beseda,odstavek,divizija,"['podjetje', 'posel', 'čreda', 'bojna_skupina']","Beseda ""beseda"" je besedi ""odstavek"" enako, kot je beseda ""divizija"" besedi "
42,SL,pevka,bend,pevka,"['zbor', 'bend', 'duet', 'trio', 'kvartet']","Beseda ""pevka"" je besedi ""bend"" enako, kot je beseda ""pevka"" besedi "
43,SL,sekretar,hiša,pesem,"['album', 'zbirka', 'antologija', 'knjižnica']","Beseda ""sekretar"" je besedi ""hiša"" enako, kot je beseda ""pesem"" besedi "
44,SL,knjiga,polica,član,"['klub', 'ekipa', 'skupina', 'bend', 'skupnost']","Beseda ""knjiga"" je besedi ""polica"" enako, kot je beseda ""član"" besedi "
45,SL,fakulteta,univerza,igralec,"['ekipa', 'skupina', 'orkester']","Beseda ""fakulteta"" je besedi ""univerza"" enako, kot je beseda ""igralec"" besedi "
46,SL,knjiga,računovodstvo,zvezda,"['ozvezdje', 'galaksija']","Beseda ""knjiga"" je besedi ""računovodstvo"" enako, kot je beseda ""zvezda"" besedi "
47,SL,pevka,kvartet,avto,"['vlak', 'procesija']","Beseda ""pevka"" je besedi ""kvartet"" enako, kot je beseda ""avto"" besedi "
48,SL,krščanski,cerkev,slon,['čreda'],"Beseda ""krščanski"" je besedi ""cerkev"" enako, kot je beseda ""slon"" besedi "
49,SL,čebela,panj,čebela,"['roj', 'panj', 'kolonija', 'zanos', 'igralska_zasedba', 'gnezdo', 'drhal', 'stojalo']","Beseda ""čebela"" je besedi ""panj"" enako, kot je beseda ""čebela"" besedi "
50,SL,gos,čreda,čebela,"['roj', 'panj', 'kolonija', 'zanos', 'igralska_zasedba', 'gnezdo', 'drhal', 'stojalo']","Beseda ""gos"" je besedi ""čreda"" enako, kot je beseda ""čebela"" besedi "
51,SL,član,skupnost,stran,"['knjiga', 'zvezek', 'spletišče']","Beseda ""član"" je besedi ""skupnost"" enako, kot je beseda ""stran"" besedi "
52,SL,pevka,duet,fotografija,"['album', 'zbirka', 'knjižnica']","Beseda ""pevka"" je besedi ""duet"" enako, kot je beseda ""fotografija"" besedi "
53,SL,študent,razred,stran,"['knjiga', 'zvezek', 'spletišče']","Beseda ""študent"" je besedi ""razred"" enako, kot je beseda ""stran"" besedi "
54,SL,čebela,kolonija,vojak,"['vojska', 'enota', 'divizija', 'četa']","Beseda ""čebela"" je besedi ""kolonija"" enako, kot je beseda ""vojak"" besedi "
55,SL,pevka,trio,lev,['ponos'],"Beseda ""pevka"" je besedi ""trio"" enako, kot je beseda ""lev"" besedi "
56,SL,pesem,album,zaposleni,"['osebje', 'podjetje']","Beseda ""pesem"" je besedi ""album"" enako, kot je beseda ""zaposleni"" besedi "
57,SL,krščanski,kongregacija,državljan,"['državljanstvo', 'država', 'zvezna_država']","Beseda ""krščanski"" je besedi ""kongregacija"" enako, kot je beseda ""državljan"" besedi "
