,Language,a,b,c,d,prompts
0,EN,dinner,feast,warm,"['hot', 'fiery', 'flaming', 'heated', 'red-hot', 'sizzling', 'sensual', 'sultry', 'torrid', 'white-hot']","""dinner"" is to ""feast"" as ""warm"" is to "
1,EN,love,adore,cat,"['lion', 'tiger', 'leopard', 'panther', 'jaguar']","""love"" is to ""adore"" as ""cat"" is to "
2,EN,confused,trapped,well,"['flourishing', 'robust', 'booming', 'prospering', 'prosperous', 'thriving']","""confused"" is to ""trapped"" as ""well"" is to "
3,EN,lake,sea,interesting,"['exciting', 'exhilarant', 'exhilarating', 'exhilarative', 'eye-popping', 'inspiring', 'intoxicating', 'rousing', 'stimulating', 'stirring', 'arresting', 'interesting', 'intriguing', 'moving', 'provocative', 'thrilling']","""lake"" is to ""sea"" as ""interesting"" is to "
4,EN,interesting,stimulating,interesting,"['exciting', 'exhilarant', 'exhilarating', 'exhilarative', 'eye-popping', 'inspiring', 'intoxicating', 'rousing', 'stimulating', 'stirring', 'arresting', 'interesting', 'intriguing', 'moving', 'provocative', 'thrilling']","""interesting"" is to ""stimulating"" as ""interesting"" is to "
5,EN,unfortunate,tragic,unfortunate,"['tragic', 'woeful', 'grievous', 'wretched', 'miserable', 'awful', 'lamentable', 'regrettable', 'desperate', 'hopeless', 'disastrous']","""unfortunate"" is to ""tragic"" as ""unfortunate"" is to "
6,EN,snack,meal,nap,"['sleep', 'slumber']","""snack"" is to ""meal"" as ""nap"" is to "
7,EN,strong,super,well,"['flourishing', 'robust', 'booming', 'prospering', 'prosperous', 'thriving']","""strong"" is to ""super"" as ""well"" is to "
8,EN,drizzle,rain,chuckle,"['laugh', 'guffaw', 'chortle', 'snicker', 'snigger', 'roar']","""drizzle"" is to ""rain"" as ""chuckle"" is to "
9,EN,interesting,provocative,warm,"['hot', 'fiery', 'flaming', 'heated', 'red-hot', 'sizzling', 'sensual', 'sultry', 'torrid', 'white-hot']","""interesting"" is to ""provocative"" as ""warm"" is to "
10,EN,bad,unspeakable,monkey,['gorilla'],"""bad"" is to ""unspeakable"" as ""monkey"" is to "
11,EN,unhappy,suffering,cat,"['lion', 'tiger', 'leopard', 'panther', 'jaguar']","""unhappy"" is to ""suffering"" as ""cat"" is to "
12,EN,house,castle,cry,"['scream', 'shriek', 'screech', 'screeching']","""house"" is to ""castle"" as ""cry"" is to "
13,EN,creative,original,drizzle,"['rain', 'shower', 'deluge']","""creative"" is to ""original"" as ""drizzle"" is to "
14,EN,sea,ocean,dislike,"['hate', 'abhor', 'loathe', 'execrate', 'contemn', 'despise', 'scorn', 'disdain']","""sea"" is to ""ocean"" as ""dislike"" is to "
15,EN,want,lust,like,"['love', 'care', 'fond', 'crush', 'infatuate']","""want"" is to ""lust"" as ""like"" is to "
16,EN,want,hunger,want,"['crave', 'hunger', 'thirst', 'starve', 'lust']","""want"" is to ""hunger"" as ""want"" is to "
17,EN,confused,lost,sad,"['desparate', 'despondent', 'despairing', 'desponding', 'forlorn', 'hopeless', 'melancholy']","""confused"" is to ""lost"" as ""sad"" is to "
18,EN,chuckle,roar,warm,"['hot', 'fiery', 'flaming', 'heated', 'red-hot', 'sizzling', 'sensual', 'sultry', 'torrid', 'white-hot']","""chuckle"" is to ""roar"" as ""warm"" is to "
19,EN,snack,eat,pain,"['torment', 'torture', 'agony']","""snack"" is to ""eat"" as ""pain"" is to "
20,EN,want,thirst,giggle,"['laugh', 'guffaw', 'chortle', 'snicker', 'snigger', 'roar']","""want"" is to ""thirst"" as ""giggle"" is to "
21,EN,soon,promptly,bad,"['awful', 'atrocious', 'abominable', 'dreadful', 'painful', 'terrible', 'unspeakable']","""soon"" is to ""promptly"" as ""bad"" is to "
22,EN,soon,immediately,house,"['palace', 'castle']","""soon"" is to ""immediately"" as ""house"" is to "
23,EN,cat,panther,irritate,"['enrage', 'incense', 'infuriate', 'ire', 'mad', 'madden', 'steam', 'umbrage']","""cat"" is to ""panther"" as ""irritate"" is to "
24,EN,guilty,unworthy,happy,"['ecstatic', 'enraptured', 'rapturous', 'rapt', 'rhapsodic']","""guilty"" is to ""unworthy"" as ""happy"" is to "
25,EN,excited,agitated,pony,['horse'],"""excited"" is to ""agitated"" as ""pony"" is to "
26,EN,damp,saturated,interesting,"['exciting', 'exhilarant', 'exhilarating', 'exhilarative', 'eye-popping', 'inspiring', 'intoxicating', 'rousing', 'stimulating', 'stirring', 'arresting', 'interesting', 'intriguing', 'moving', 'provocative', 'thrilling']","""damp"" is to ""saturated"" as ""interesting"" is to "
27,EN,necessary,required,pain,"['torment', 'torture', 'agony']","""necessary"" is to ""required"" as ""pain"" is to "
28,EN,guilty,sorrowful,doze,"['sleep', 'slumber']","""guilty"" is to ""sorrowful"" as ""doze"" is to "
29,EN,tasty,pleasant-tasting,poorly,"['afflicted', 'sick', 'ill', 'stricken']","""tasty"" is to ""pleasant-tasting"" as ""poorly"" is to "
30,SL,večerja,pojedina,toplo,"['vroče', 'ognjeno', 'vzplamteče', 'ogrevano', 'rdeče_vroče', 'cvrčeče', 'čuteče', 'soparno', 'belo_vroče']","Beseda ""večerja"" je besedi ""pojedina"" enako, kot je beseda ""toplo"" besedi "
31,SL,ljubezen,občudovanje,maček,"['lev', 'tiger', 'leopard', 'panter', 'jaguar']","Beseda ""ljubezen"" je besedi ""občudovanje"" enako, kot je beseda ""maček"" besedi "
32,SL,zmeden,ujet,dobro,"['cveteče', 'robustno', 'razcvet', 'uspešen', 'uspevanje']","Beseda ""zmeden"" je besedi ""ujet"" enako, kot je beseda ""dobro"" besedi "
33,SL,jezero,morje,zanimivo,"['vznemirljivo', 'navdušujoče', 'vzhičeno', 'bodeče_v_oči', 'opojno', 'stimulajoče', 'mešano', 'zaseženo', 'intrigantno', 'premikajoče', 'provokativno', 'omamno']","Beseda ""jezero"" je besedi ""morje"" enako, kot je beseda ""zanimivo"" besedi "
34,SL,zanimivo,stimulajoče,zanimivo,"['vznemirljivo', 'navdušujoče', 'vzhičeno', 'bodeče_v_oči', 'opojno', 'stimulajoče', 'mešano', 'zaseženo', 'intrigantno', 'premikajoče', 'provokativno', 'omamno']","Beseda ""zanimivo"" je besedi ""stimulajoče"" enako, kot je beseda ""zanimivo"" besedi "
35,SL,nesrečno,tragično,nesrečno,"['tragično', 'žalostno', 'žalujoče', 'ubogo', 'klavrno', 'grozno', 'obžalovanja_vredno', 'obupano', 'brezupno', 'katastrofalno']","Beseda ""nesrečno"" je besedi ""tragično"" enako, kot je beseda ""nesrečno"" besedi "
36,SL,prigrizek,obrok,dremež,"['spanec', 'spanje']","Beseda ""prigrizek"" je besedi ""obrok"" enako, kot je beseda ""dremež"" besedi "
37,SL,močan,super,dobro,"['cveteče', 'robustno', 'razcvet', 'uspešen', 'uspevanje']","Beseda ""močan"" je besedi ""super"" enako, kot je beseda ""dobro"" besedi "
38,SL,rosenje,dež,smehljanje,"['smeh', 'zasmehovanje', 'hihitatnje', 'hihitati_se', 'hihitati', 'rjovenje']","Beseda ""rosenje"" je besedi ""dež"" enako, kot je beseda ""smehljanje"" besedi "
39,SL,zanimivo,provokativno,toplo,"['vroče', 'ognjeno', 'vzplamteče', 'ogrevano', 'rdeče_vroče', 'cvrčeče', 'čuteče', 'soparno', 'belo_vroče']","Beseda ""zanimivo"" je besedi ""provokativno"" enako, kot je beseda ""toplo"" besedi "
40,SL,slabo,nepredstavljivo,opica,['gorila'],"Beseda ""slabo"" je besedi ""nepredstavljivo"" enako, kot je beseda ""opica"" besedi "
41,SL,nesrečno,trpeče,maček,"['lev', 'tiger', 'leopard', 'panter', 'jaguar']","Beseda ""nesrečno"" je besedi ""trpeče"" enako, kot je beseda ""maček"" besedi "
42,SL,hiša,grad,jokati,"['kričati', 'krikniti', 'piskati', 'piskanje']","Beseda ""hiša"" je besedi ""grad"" enako, kot je beseda ""jokati"" besedi "
43,SL,ustvarjalen,originalno,rosenje,"['dež', 'močan_dež', 'potop']","Beseda ""ustvarjalen"" je besedi ""originalno"" enako, kot je beseda ""rosenje"" besedi "
44,SL,morje,ocean,ne_mara,"['sovražiti', 'gnus', 'prezirati', 'mrzeti', 'preklinjati', 'zaničevati', 'zaničevanje', 'prezir']","Beseda ""morje"" je besedi ""ocean"" enako, kot je beseda ""ne_mara"" besedi "
45,SL,hoteti,poželenje,imeti_rad,"['ljubiti', 'skrbeti', 'naklonjenost', 'simpatija', 'zaljubljenost']","Beseda ""hoteti"" je besedi ""poželenje"" enako, kot je beseda ""imeti_rad"" besedi "
46,SL,hoteti,lakota,hoteti,"['hrepeneti', 'lakota', 'žeja', 'stradanje', 'poželenje']","Beseda ""hoteti"" je besedi ""lakota"" enako, kot je beseda ""hoteti"" besedi "
47,SL,zmeden,izgubljen,žalostno,"['obupano', 'malodušno', 'zapuščeno', 'brezupno', 'melanholično']","Beseda ""zmeden"" je besedi ""izgubljen"" enako, kot je beseda ""žalostno"" besedi "
48,SL,smehljanje,rjovenje,toplo,"['vroče', 'ognjeno', 'vzplamteče', 'ogrevano', 'rdeče_vroče', 'cvrčeče', 'čuteče', 'soparno', 'belo_vroče']","Beseda ""smehljanje"" je besedi ""rjovenje"" enako, kot je beseda ""toplo"" besedi "
49,SL,prigrizek,hrana,bolečina,"['muke', 'agonija']","Beseda ""prigrizek"" je besedi ""hrana"" enako, kot je beseda ""bolečina"" besedi "
50,SL,hoteti,žeja,hihitanje,"['smeh', 'zasmehovanje', 'hihitatnje', 'hihitati_se', 'hihitati', 'rjovenje']","Beseda ""hoteti"" je besedi ""žeja"" enako, kot je beseda ""hihitanje"" besedi "
51,SL,kmalu,nemudoma,slabo,"['grozno', 'grozljivo', 'gnusno', 'odvratno', 'boleže', 'strašno', 'nepredstavljivo']","Beseda ""kmalu"" je besedi ""nemudoma"" enako, kot je beseda ""slabo"" besedi "
52,SL,kmalu,takoj,hiša,"['palača', 'grad']","Beseda ""kmalu"" je besedi ""takoj"" enako, kot je beseda ""hiša"" besedi "
53,SL,maček,panter,dražiti,"['groziti', 'kadilo', 'razbesneti', 'gnev', 'jezen', 'jeziti', 'kuhati_se_od_jeze', 'zamera']","Beseda ""maček"" je besedi ""panter"" enako, kot je beseda ""dražiti"" besedi "
54,SL,kriv,nevreden,vesel,"['ekstatično', 'navdušen', 'navdušenje', 'rapsodično']","Beseda ""kriv"" je besedi ""nevreden"" enako, kot je beseda ""vesel"" besedi "
55,SL,navdušen,vznemirjen,poni,['konj'],"Beseda ""navdušen"" je besedi ""vznemirjen"" enako, kot je beseda ""poni"" besedi "
56,SL,vlaga,nasičenost,zanimivo,"['vznemirljivo', 'navdušujoče', 'vzhičeno', 'bodeče_v_oči', 'opojno', 'stimulajoče', 'mešano', 'zaseženo', 'intrigantno', 'premikajoče', 'provokativno', 'omamno']","Beseda ""vlaga"" je besedi ""nasičenost"" enako, kot je beseda ""zanimivo"" besedi "
57,SL,nujno,zahtevano,bolečina,"['muke', 'agonija']","Beseda ""nujno"" je besedi ""zahtevano"" enako, kot je beseda ""bolečina"" besedi "
58,SL,kriv,žalosten,dremež,['spanje'],"Beseda ""kriv"" je besedi ""žalosten"" enako, kot je beseda ""dremež"" besedi "
59,SL,okusen,prijetno_za_okusiti,slabo,"['prizadeto', 'bolan', 'slabo']","Beseda ""okusen"" je besedi ""prijetno_za_okusiti"" enako, kot je beseda ""slabo"" besedi "
60,SK,večera,hostina,teplý,"['horúci', 'ohnivý', 'plamenný', 'zohriaty', 'žeravý', 'rozpálený', 'dusný', 'spálený', 'rozžeravený_do_biela']","Slovo ""večera""  sa má k slovu ""hostina"" ako slovo ""teplý"" k slovu "
61,SK,milovať,zbožňovať,mačka,"['lev', 'tiger', 'leopard', 'panter', 'jaguár']","Slovo ""milovať""  sa má k slovu ""zbožňovať"" ako slovo ""mačka"" k slovu "
62,SK,zmätený,v_pasci,dobre_na_tom,"['prekvitajúci', 'robustný', 'bujnejúci', 'prosperujúci', 'úspešný', 'rozvíjajúci_sa']","Slovo ""zmätený""  sa má k slovu ""v_pasci"" ako slovo ""dobre_na_tom"" k slovu "
