,ID,Relation,Source,Target,HE
0,L02_1,hypernyms - misc,armchair,,_כֻּרְסָה_
1,,,,chair,כִּסֵּא
2,,,,seat,מוֹשָׁב
3,,,,piece_of_furniture,רהיט
4,,,,article_of_furniture,פריט_ריהוט
5,,,,furnishing,רִהוּט
6,,,,artifact,חפץ
7,,,,artefact,DUPLICATE_חפץ
8,,,,unit,יְחִידָה
9,,,,object,אוֹבְּיֶקְט
10,,,,physical_object,אוֹבְּיֶיקט_פיזי
11,,,,physical_entity,ישות_פיזית
12,,,,entity,ישות
13,,,,,"קיום,הוויה"
14,L02_2,hypernyms - misc,blender,,בלנדר
15,,,,appliance,מכשיר
16,,,,mixer,מיקסר
17,,,,kitchen_utensil,כִּלי_מטבח
18,,,,utensil,DUPLICATE_כלי
19,,,,implement,כלי
20,,,,artifact,חפץ
21,,,,artefact,DUPLICATE_חפץ
22,,,,unit,יְחִידָה
23,,,,object,אובייקט
24,,,,physical_object,אוֹבְּיֶיקט_פיזי
25,,,,physical_entity,ישות_פיזית
26,,,,entity,ישות
27,,,,,"ממחה,מערבך,מכשיר"
28,L02_3,hypernyms - misc,bracelet,,_צָמִיד_
29,,,,jewelry,DUPLICATE_תכשיטים
30,,,,band,רצועה
31,,,,strip,DUPLICATE_רצועה
32,,,,slip,הֶחְלִיק
33,,,,artifact,חפץ
34,,,,artefact,DUPLICATE_חפץ
35,,,,unit,יְחִידָה
36,,,,object,אובייקט
37,,,,physical_object,אוֹבְּיֶיקט_פיזי
38,,,,physical_entity,ישות_פיזית
39,,,,entity,ישות
40,,,,jewellery,תכשיטים
41,,,,adornment,DUPLICATE_תכשיטים
42,,,,decoration,קִשּׁוּט
43,,,,ornament,עטור
44,,,,ornamentation,DUPLICATE_עטור
46,L02_4,hypernyms - misc,brooch,,_סיכת_נוי_
47,,,,jewelry,DUPLICATE_תכשיטים
48,,,,jewellery,תכשיטים
49,,,,adornment,DUPLICATE_תכשיטים
50,,,,decoration,קִשּׁוּט
51,,,,ornament,עטור
52,,,,ornamentation,DUPLICATE_עטור
53,,,,artifact,חפץ
54,,,,artefact,DUPLICATE_חפץ
55,,,,unit,יְחִידָה
56,,,,object,אובייקט
57,,,,physical_object,אוֹבְּיֶיקט_פיזי
59,L02_5,hypernyms - misc,cake,,עוגה
60,,,,dessert,קנוח
61,,,,baked_goods,מוצרי_מאפה
62,,,,food,אוכל
63,,,,solid_food,אוכל_מוצק
64,,,,course,מנה
65,,,,nutriment,DUPLICATE_תזונה
66,,,,nourishment,מָזוֹן
67,,,,nutrition,תזונה
68,,,,sustenance,DUPLICATE_מזון
69,,,,aliment,DUPLICATE_מזון
70,,,,alimentation,הֲזָנָה
71,,,,victuals,סיפק
72,,,,nutrient,מזין
73,,,,substance,DUPLICATE_חומר
74,,,,matter,חומר
75,,,,physical_entity,ישות_פיזית
76,,,,entity,ישות
78,L02_6,hypernyms - misc,computer,,_מַחְשֵׁב_
79,,,,device,מתקן
80,,,,machine,מכונה
81,,,,gadget,גַּדְגֶ'ט
82,,,,artifact,חפץ
83,,,,artefact,DUPLICATE_חפץ
84,,,,unit,יְחִידָה
85,,,,object,אובייקט
86,,,,physical_object,אוֹבְּיֶיקט_פיזי
87,,,,physical_entity,ישות_פיזית
88,,,,entity,ישות
89,,,,expert,מומחה
90,,,,person,אדם
91,,,,individual,DUPLICATE_אדם
92,,,,someone,מִישֶׁהוּ
93,,,,somebody,DUPLICATE_מישהו
94,,,,mortal,בן_תמותה
95,,,,soul,נשמה
96,,,,causal_agent,גורם_סיבתי
97,,,,cause,סיבה
98,,,,causal_agency,סוכנות_סיבתית
99,,,,organism,אורגניזם
100,,,,being,DUPLICATE_ישות
101,,,,living_thing,יצור_חי
102,,,,animate_thing,דבר_הנפש
104,L02_7,hypernyms - misc,croissant,,קרואסון
105,,,,pastry,מַאֲפֶה
106,,,,bun,לַחְמָנִיָּה
107,,,,roll,DUPLICATE_לחמניה
108,,,,bread,לחם
109,,,,breadstuff,DUPLICATE_לחם
110,,,,staff_of_life,צוות_החיים
111,,,,baked_goods,מוצרי_מאפה
112,,,,starches,עמילן
113,,,,food,אוכל
114,,,,solid_food,אוכל_מוצק
115,,,,foodstuff,מצרכי_מזון
116,,,,food_product,מוצר_מזון
117,,,,solid,מוצק
118,,,,nutrient,מזין
119,,,,matter,חומר
120,,,,substance,DUPLICATE_חומר
121,,,,physical_entity,ישות_פיזית
122,,,,entity,ישות
124,L02_8,hypernyms - misc,cup,,כוס
125,,,,tableware,כלי_שולחן
126,,,,crockery,כלי_חרס
127,,,,dishware,כלי_אוכל
128,,,,ware,DUPLICATE_כלי
129,,,,article,כלי
130,,,,artifact,חפץ
131,,,,artefact,DUPLICATE_חפץ
132,,,,unit,יְחִידָה
133,,,,object,אובייקט
134,,,,physical_object,אוֹבְּיֶיקט_פיזי
135,,,,physical_entity,ישות_פיזית
136,,,,entity,ישות
137,,,,container,מיכל
139,L02_9,hypernyms - misc,denim,,דנים
140,,,,fabric,בד
141,,,,cloth,DUPLICATE_בד
142,,,,material,חוֹמֶר
143,,,,textile,אריג
144,,,,artifact,חפץ
145,,,,artefact,DUPLICATE_חפץ
146,,,,unit,יְחִידָה
147,,,,object,אובייקט
148,,,,physical_object,אוֹבְּיֶיקט_פיזי
149,,,,physical_entity,ישות_פיזית
150,,,,entity,ישות
151,,,,garment,DUPLICATE_לבוש
152,,,,clothing,ביגוד
153,,,,article_of_clothing,פריט_לבוש
154,,,,vesture,DUPLICATE_לבוש
155,,,,wear,לבוש
156,,,,wearable,לביש
157,,,,habiliment,DUPLICATE_לבוש
158,,,,consumer_goods,מוצרי_צריכה
159,,,,covering,כיסוי
160,,,,commodity,מצרך
161,,,,trade_good,סחר_טוב
162,,,,good,טוב
164,L02_10,hypernyms - misc,deodorant,,דאודורנט
165,,,,toiletry,תמרוק
166,,,,toilet_articles,חפצי_שירותים
167,,,,artifact,חפץ
168,,,,artefact,DUPLICATE_חפץ
169,,,,unit,יְחִידָה
170,,,,object,אובייקט
171,,,,physical_object,אוֹבְּיֶיקט_פיזי
172,,,,physical_entity,ישות_פיזית
173,,,,entity,ישות
175,L02_11,hypernyms - misc,desk,,שולחן_כתיבה
176,,,,furniture,ריהוט
177,,,,table,שולחן
178,,,,piece_of_furniture,רהיט
179,,,,article_of_furniture,פריט_ריהוט
180,,,,furnishing,DUPLICATE_רהיט
181,,,,artifact,חפץ
182,,,,artefact,DUPLICATE_חפץ
183,,,,unit,יְחִידָה
184,,,,object,אובייקט
185,,,,physical_object,אוֹבְּיֶיקט_פיזי
186,,,,physical_entity,ישות_פיזית
187,,,,entity,ישות
189,L02_12,hypernyms - misc,diary,,_יוֹמָן_
190,,,,journal,ג'ורנל
191,,,,writing,כתיבה
192,,,,written_material,חומר_כתוב
193,,,,piece_of_writing,פיסת_כתיבה
194,,,,written_communication,תקשורת_כתובה
195,,,,written_language,שפה_כתובה
196,,,,black_and_white,שחור_ולבן
197,,,,communication,תקשורת
198,,,,abstraction,הפשטה
199,,,,abstract_entity,ישות_מופשטת
200,,,,entity,ישות
201,,,,book,ספר
202,,,,volume,כרך
203,,,,product,מוצר
204,,,,production,יצור
205,,,,creation,יצירה
206,,,,artifact,חפץ
207,,,,artefact,DUPLICATE_חפץ
208,,,,unit,יְחִידָה
209,,,,object,אובייקט
210,,,,physical_object,אוֹבְּיֶיקט_פיזי
211,,,,physical_entity,ישות_פיזית
213,L02_13,hypernyms - misc,dishwasher,,מדיח_כלים
214,,,,appliance,מכשיר
215,,,,machine,מכונה
216,,,,entity,ישות
217,,,,unit,יְחִידָה
218,,,,object,אובייקט
219,,,,physical_object,אוֹבְּיֶיקט_פיזי
220,,,,white_goods,כלי_מיטה
221,,,,home_appliance,מכשירי_חשמל_ביתיים
222,,,,household_appliance,DUPLICATE_מכשירי_חשמל_ביתיים
223,,,,durables,DUPLICATE_מוצרי_צריכה_עמידים
224,,,,durable_goods,מוצרי_צריכה_עמידים
225,,,,consumer_durables,מוצרים_עמידים_לצרכן
226,,,,consumer_goods,מוצרי_צריכה
227,,,,commodity,מצרך
228,,,,trade_good,סחר_טוב
229,,,,good,טוב
230,,,,artifact,חפץ
231,,,,artefact,DUPLICATE_חפץ
232,,,,physical_entity,ישות_פיזית
233,,,,מכשירי_חשמל_ביתיים,DUPLICATE_אוֹבְּיֶיקט_פיזי
235,L02_14,hypernyms - misc,dress,,שמלה
236,,,,clothes,בגדים
237,,,,garment,DUPLICATE_לבוש
238,,,,clothing,ביגוד
239,,,,article_of_clothing,פריט_לבוש
240,,,,vesture,DUPLICATE_לבוש
241,,,,wear,לבוש
242,,,,wearable,לביש
243,,,,habiliment,DUPLICATE_לבוש
244,,,,consumer_goods,מוצרי_צריכה
245,,,,covering,כיסוי
246,,,,commodity,מצרך
247,,,,trade_good,סחר_טוב
248,,,,good,טוב
249,,,,artifact,חפץ
250,,,,artefact,DUPLICATE_חפץ
251,,,,unit,יְחִידָה
252,,,,object,אובייקט
253,,,,physical_object,אוֹבְּיֶיקט_פיזי
254,,,,physical_entity,ישות_פיזית
255,,,,entity,ישות
265,L02_15,hypernyms - misc,fridge,,מקרר
266,,,,appliance,DUPLICATE_מכשירי_חשמל_ביתיים
267,,,,icebox,מקרר_קטן
268,,,,white_goods,כלי_מיטה
269,,,,home_appliance,מכשירי_חשמל_ביתיים
270,,,,household_appliance,DUPLICATE_מכשירי_חשמל_ביתיים
