,ID,Relation,Source,Target,IT
0,L07_1,synonyms - intensity,afraid,,impaurito
1,,,,terrified,terrorizzato
2,,,,horrified,sconvolto
3,,,,scared,spaventato
4,,,,stiff,rigido
5,,,,petrified,pietrificato
6,,,,fearful,timoroso
7,,,,panicky,preso_dal_panico
9,L07_2,synonyms - intensity,angry,,arrabbiato
10,,,,furious,furioso
11,,,,enraged,infuriato
12,,,,outraged,indignato
13,,,,aggrivated,disturbato
14,,,,irate,adirato
15,,,,seething,DUPLICATE_arrabbiato
17,L07_3,synonyms - intensity,ask,,chiedere
18,,,,beg,supplicare
19,,,,implore,implorare
20,,,,pray,pregare
21,,,,entreat,DUPLICATE_supplicare
22,,,,supplicate,DUPLICATE_supplicare
23,,,,insist,insistere
25,L07_4,synonyms - intensity,bad,,cattivo
26,,,,awful,tremendo
27,,,,atrocious,atroce
28,,,,abominable,abominevole
29,,,,dreadful,DUPLICATE_tremendo
30,,,,painful,doloroso
31,,,,terrible,terribile
32,,,,unspeakable,indicibile
34,L07_5,synonyms - intensity,boring,,noioso
35,,,,tedious,tedioso
36,,,,deadening,svilente
37,,,,dull,monotono
38,,,,ho-hum,uffa
39,,,,irksome,seccante
40,,,,tiresome,DUPLICATE_noioso
41,,,,wearisome,barboso
43,L07_6,synonyms - intensity,cat,,gatto
44,,,,lion,leone
45,,,,tiger,tigre
46,,,,leopard,leopardo
47,,,,panther,pantera
48,,,,jaguar,giaguaro
50,L07_7,synonyms - intensity,chuckle,,sogghignare
51,,,,laugh,ridere
52,,,,guffaw,ridere_fragorosamente
53,,,,chortle,ridacchiare
54,,,,snicker,ridere_sotto_i_baffi
55,,,,snigger,DUPLICATE_ridere_sotto_i_baffi
56,,,,titter,DUPLICATE_ridacchiare
57,,,,roar,ridere_forte
59,L07_8,synonyms - intensity,confused,,confuso
60,,,,lost,perso
61,,,,bewildered,sbalordito
62,,,,trapped,intrappolato
63,,,,desperate,disperato
65,L07_9,synonyms - intensity,creative,,creativo
66,,,,ingenious,ingegnoso
67,,,,inventive,fantasioso
68,,,,demiurgic,demiurgico
69,,,,deviceful,inventivo
70,,,,innovational,DUPLICATE_innovativo
71,,,,innovative,innovativo
72,,,,innovatory,DUPLICATE_innovativo
73,,,,original,originale
74,,,,originative,DUPLICATE_originale
76,L07_10,synonyms - intensity,cry,,piangere
77,,,,scream,urlare
78,,,,shriek,gridare
79,,,,screech,strillare
80,,,,screeching,DUPLICATE_strillare
82,L07_11,synonyms - intensity,damp,,umido
83,,,,drenched,inzuppato
84,,,,dripping,sgocciolio
85,,,,saturated,impregnato
86,,,,soaked,zuppo
87,,,,soaking,DUPLICATE_zuppo
88,,,,sodden,DUPLICATE_inzuppato
89,,,,sopping,fradicio
90,,,,soppy,sdolcinato
91,,,,soused,DUPLICATE_impregnato
92,,,,wringing-wet,completamente_zuppo
94,L07_12,synonyms - intensity,dinner,,cena
95,,,,feast,banchetto
96,,,,banquet,DUPLICATE_banchetto
97,,,,fiesta,festa
99,L07_13,synonyms - intensity,dislike,,non_piacere
100,,,,hate,odiare
101,,,,abhor,aborrire
102,,,,detest,detestare
103,,,,loathe,DUPLICATE_detestare
104,,,,abominate,DUPLICATE_aborrire
105,,,,execrate,DUPLICATE_detestare
106,,,,contemn,disprezzare
107,,,,despise,DUPLICATE_disprezzare
108,,,,scorn,respingere
109,,,,disdain,disdegnare
111,L07_14,synonyms - intensity,doze,,dormicchiare
112,,,,sleep,dormire
113,,,,slumber,sonnecchiare
115,L07_15,synonyms - intensity,drizzle,,pioggerella
116,,,,rain,pioggia
117,,,,shower,doccia
118,,,,raifall,acquazzone
119,,,,deluge,dilivio
122,L07_16,synonyms - intensity,excited,,emozionato
123,,,,agitated,agitato
124,,,,nervous,nervoso
126,L07_17,synonyms - intensity,faith,,fede
127,,,,fanatism,DUPLICATE_fanatismo
128,,,,fanaticism,fanatismo
129,,,,zealotry,DUPLICATE_fanatismo
131,L07_18,synonyms - intensity,giggle,,ridacchiare
132,,,,laugh,ridere
133,,,,guffaw,ridere_fragorosamente
134,,,,chortle,ridacchiare
135,,,,snicker,ridere_sotto_i_baffi
136,,,,snigger,DUPLICATE_ridere_sotto_i_baffi
137,,,,titter,DUPLICATE_ridacchiare
138,,,,roar,ridere_forte
140,L07_19,synonyms - intensity,guilty,,colpevole
141,,,,remorseful,contrito
