,ID,Relation,Source,Target,SK
0,L07_1,synonyms - intensity,afraid,,NO_TRANSLATION
1,,,,terrified,vydesený
2,,,,horrified,zdesený
3,,,,scared,vystrašený
4,,,,stiff,stuhnutý
5,,,,petrified,skamenený
6,,,,fearful,bojazlivý
7,,,,panicky,panický
9,L07_2,synonyms - intensity,angry,,nahnevaný
10,,,,furious,zúrivý
11,,,,enraged,rozzúrený
12,,,,outraged,nazurený
13,,,,aggrivated,NO_TRANSLATION
14,,,,irate,zlostný
15,,,,seething,kypiaci
17,L07_3,synonyms - intensity,ask,,pýtať_si
18,,,,beg,prosiť
19,,,,implore,zaprisahať
20,,,,pray,žiadať
21,,,,entreat,uprosovať
22,,,,supplicate,naliehať
23,,,,insist,vyžadovať
25,L07_4,synonyms - intensity,bad,,zlý
26,,,,awful,hrozný
27,,,,atrocious,zverský
28,,,,abominable,ohavný
29,,,,dreadful,príšerný
30,,,,painful,bolestivý
31,,,,terrible,strašný
32,,,,unspeakable,nevysloviteľný
34,L07_5,synonyms - intensity,boring,,nudný
35,,,,tedious,zdĺhavý
36,,,,deadening,ubíjajúci
37,,,,dull,fádny
38,,,,ho-hum,nezáživný
39,,,,irksome,DUPLICATE_nudný
40,,,,tiresome,únavný
41,,,,wearisome,úmorný
43,L07_6,synonyms - intensity,cat,,mačka
44,,,,lion,lev
45,,,,tiger,tiger
46,,,,leopard,leopard
47,,,,panther,panter
48,,,,jaguar,jaguár
50,L07_7,synonyms - intensity,chuckle,,chichot
51,,,,laugh,smiech
52,,,,guffaw,rehot
53,,,,chortle,radostný_smiech
54,,,,snicker,chechot
55,,,,snigger,chechtanie
56,,,,titter,chichúňanie
57,,,,roar,hurónsky_smiech
59,L07_8,synonyms - intensity,confused,,zmätený
60,,,,lost,stratený
61,,,,bewildered,popletený
62,,,,trapped,v_pasci
63,,,,desperate,zúfalý
65,L07_9,synonyms - intensity,creative,,tvorivý
66,,,,ingenious,dôvtipný
67,,,,inventive,invenčný
68,,,,demiurgic,stvoriteľský
69,,,,deviceful,vynaliezavý
70,,,,innovational,DUPLICATE_inovatívny
71,,,,innovative,inovatívny
72,,,,innovatory,DUPLICATE_inovatívny
73,,,,original,originálny
74,,,,originative,DUPLICATE_originálny
75,,,,,"vynachádzavý,dômyselný,duchaplný"
76,L07_10,synonyms - intensity,cry,,plakať
77,,,,scream,vrieskať
78,,,,shriek,vrešťať
79,,,,screech,škriekať
80,,,,screeching,NO_TRANSLATION
82,L07_11,synonyms - intensity,damp,,vlhký
83,,,,drenched,premočený
84,,,,dripping,kvapkajúci
85,,,,saturated,nasýtený
86,,,,soaked,nasiaknutý
87,,,,soaking,premoknutý
88,,,,sodden,DUPLICATE_premočený
89,,,,sopping,DUPLICATE_nasiaknutý
90,,,,soppy,DUPLICATE_nasiaknutý
91,,,,soused,namočený
92,,,,wringing-wet,NO_TRANSLATION
93,,,,,"mokrý,zmoknutý,zvlhčený,navlhčený"
94,L07_12,synonyms - intensity,dinner,,večera
95,,,,feast,hostina
96,,,,banquet,banket
97,,,,fiesta,fiesta
99,L07_13,synonyms - intensity,dislike,,nemať_rád
100,,,,hate,nenávidieť
101,,,,abhor,hnusiť_sa
102,,,,detest,protiviť_sa
103,,,,loathe,bridiť_sa
104,,,,abominate,mať_odpor
105,,,,execrate,hroziť_sa
106,,,,contemn,opovrhovať
107,,,,despise,DUPLICATE_pohŕdať
108,,,,scorn,pohŕdať
109,,,,disdain,DUPLICATE_pohŕdať
110,,,,,"zaznávať,neznášať"
111,L07_14,synonyms - intensity,doze,,podriemkávať
112,,,,sleep,spať
113,,,,slumber,driemať
115,L07_15,synonyms - intensity,drizzle,,mrholenie
116,,,,rain,dážď
117,,,,shower,prehánky
118,,,,raifall,lejak
119,,,,deluge,prietrž
122,L07_16,synonyms - intensity,excited,,vzrušený
123,,,,agitated,rozrušený
124,,,,nervous,nervózny
126,L07_17,synonyms - intensity,faith,,viera
127,,,,fanatism,fanatizmus
128,,,,fanaticism,náboženský_fanatizmus
129,,,,zealotry,bigotnosť
131,L07_18,synonyms - intensity,giggle,,chichot
132,,,,laugh,smiech
133,,,,guffaw,rehot
134,,,,chortle,radostný_smiech
135,,,,snicker,chechot
136,,,,snigger,chechtanie
137,,,,titter,chichúňanie
138,,,,roar,hurónsky_smiech
140,L07_19,synonyms - intensity,guilty,,vinný
141,,,,remorseful,kajúcny
142,,,,sorrowful,trúchlivý
143,,,,unworthy,nehodný
145,L07_20,synonyms - intensity,happy,,šťastný
146,,,,ecstatic,extatický
147,,,,enraptured,očarený
148,,,,rapturous,úchvatný
149,,,,rapt,uchvátený
150,,,,rhapsodic,vo_vytržení
152,L07_21,synonyms - intensity,house,,dom
153,,,,palace,palác
154,,,,castle,hrad
156,L07_22,synonyms - intensity,hungry,,hladný
157,,,,starving,hladujúci
158,,,,famished,DUPLICATE_vyhladovaný
159,,,,peckish,NO_TRANSLATION
160,,,,ravenous,pažravý
161,,,,starved,vyhladovaný
162,,,,,nenažraný
163,L07_23,synonyms - intensity,indulge,,dožičiť
164,,,,pamper,hýčkať
165,,,,spoil,rozmaznávať
166,,,,coddle,rozmaznať
168,L07_24,synonyms - intensity,interesting,,zaujímavý
169,,,,exciting,vzrušujúci
170,,,,exhilarant,povznášajúci
171,,,,exhilarating,DUPLICATE_povznášajúci
172,,,,exhilarative,DUPLICATE_povznášajúci
173,,,,eye-popping,NO_TRANSLATION
174,,,,inspiring,inšpirujúci
175,,,,intoxicating,opojný
