,Language,a,b,c,d,prompts
0,EN,day,nanosecond,apartment,"['bedroom', 'room', 'bathroom', 'kitchen', 'kitchenette', 'living_room', 'pantry', 'toilet', 'shower_room']","""day"" is to ""nanosecond"" as ""apartment"" is to "
1,EN,telephone,receiver,car,"['engine', 'armrest', 'headrest', 'grille', 'hinge', 'tailpipe', 'suspension', 'hood', 'horn', 'petrol', 'pintle', 'trunk', 'floorboard', 'bar', 'buffer', 'door', 'stabilizer', 'seat', 'window', 'exhaust', 'tailfin', 'back', 'luggage', 'pedal', 'seatbelt', 'wing', 'fin', 'silencer', 'compartment', 'radiator', 'accessory', 'sunroof', 'lights', 'bumper', 'glove', 'bag', 'cushion', 'backrest', 'accelerator', 'third', 'bonnet', 'air', 'gear', 'muffler', 'mirror', 'reverse', 'anti-sway_bar', 'car_seat', 'automobile_horn', 'anti-sway', 'automobile_engine', 'gasoline_engine', 'car_door', 'glove_compartment', 'bumper_guard', 'exhaust_system', 'first_gear', 'high_gear', 'rear_window', 'air_bag', 'doorlock', 'automobile_trunk', 'auto_accessory', 'inlet_manifold', 'horn_button', 'running_board', 'stabilizer_bar', 'low_gear', 'flexible_joint', 'hood_ornament', 'exhaust_valve', 'car_mirror', 'seat_belt', 'car_window', 'suspension_system']","""telephone"" is to ""receiver"" as ""car"" is to "
2,EN,movie,shot,car,"['engine', 'armrest', 'headrest', 'grille', 'hinge', 'tailpipe', 'suspension', 'hood', 'horn', 'petrol', 'pintle', 'trunk', 'floorboard', 'bar', 'buffer', 'door', 'stabilizer', 'seat', 'window', 'exhaust', 'tailfin', 'back', 'luggage', 'pedal', 'seatbelt', 'wing', 'fin', 'silencer', 'compartment', 'radiator', 'accessory', 'sunroof', 'lights', 'bumper', 'glove', 'bag', 'cushion', 'backrest', 'accelerator', 'third', 'bonnet', 'air', 'gear', 'muffler', 'mirror', 'reverse', 'anti-sway_bar', 'car_seat', 'automobile_horn', 'anti-sway', 'automobile_engine', 'gasoline_engine', 'car_door', 'glove_compartment', 'bumper_guard', 'exhaust_system', 'first_gear', 'high_gear', 'rear_window', 'air_bag', 'doorlock', 'automobile_trunk', 'auto_accessory', 'inlet_manifold', 'horn_button', 'running_board', 'stabilizer_bar', 'low_gear', 'flexible_joint', 'hood_ornament', 'exhaust_valve', 'car_mirror', 'seat_belt', 'car_window', 'suspension_system']","""movie"" is to ""shot"" as ""car"" is to "
3,EN,harbor,anchorage,car,"['engine', 'armrest', 'headrest', 'grille', 'hinge', 'tailpipe', 'suspension', 'hood', 'horn', 'petrol', 'pintle', 'trunk', 'floorboard', 'bar', 'buffer', 'door', 'stabilizer', 'seat', 'window', 'exhaust', 'tailfin', 'back', 'luggage', 'pedal', 'seatbelt', 'wing', 'fin', 'silencer', 'compartment', 'radiator', 'accessory', 'sunroof', 'lights', 'bumper', 'glove', 'bag', 'cushion', 'backrest', 'accelerator', 'third', 'bonnet', 'air', 'gear', 'muffler', 'mirror', 'reverse', 'anti-sway_bar', 'car_seat', 'automobile_horn', 'anti-sway', 'automobile_engine', 'gasoline_engine', 'car_door', 'glove_compartment', 'bumper_guard', 'exhaust_system', 'first_gear', 'high_gear', 'rear_window', 'air_bag', 'doorlock', 'automobile_trunk', 'auto_accessory', 'inlet_manifold', 'horn_button', 'running_board', 'stabilizer_bar', 'low_gear', 'flexible_joint', 'hood_ornament', 'exhaust_valve', 'car_mirror', 'seat_belt', 'car_window', 'suspension_system']","""harbor"" is to ""anchorage"" as ""car"" is to "
4,EN,cat,eyes,teapot,"['spout', 'handle', 'knob', 'lid', 'body', 'belly', 'base', 'filter', 'tea_filter']","""cat"" is to ""eyes"" as ""teapot"" is to "
5,EN,deer,scut,day,"['hour', 'forenoon', 'eventide', 'nanosecond', 'noonday', 'femtosecond', 'hr', 'minutes', 'microsecond', 'msec', 'time', 'midnight', 'sec', 'nighttime', 'min', 'morning', 'noon', 'evening', 'dark', 'picosecond', 'daytime', 'minute', 'daylight', 's', 'high', 'quarter', 'second', 'afternoon', 'twelve', 'midday', 'midafternoon', 'attosecond', 'night', 'morning_time', 'high_noon', 'half-hour', 'twelve_noon', 'late-night_hour', 'early-morning_hour', 'lights-out', '60_minutes', 'small_hours', '30_minutes', '15_minutes', 'quarter-hour']","""deer"" is to ""scut"" as ""day"" is to "
6,EN,door,doorframe,pie,"['crust', 'cheese', 'filling', 'fruit', 'apple', 'berries', 'glazing', 'pastry', 'icing']","""door"" is to ""doorframe"" as ""pie"" is to "
7,EN,torso,gluteus,apartment,"['bedroom', 'room', 'bathroom', 'kitchen', 'kitchenette', 'living_room', 'pantry', 'toilet', 'shower_room']","""torso"" is to ""gluteus"" as ""apartment"" is to "
8,EN,bus,conductor,movie,"['scene', 'subtitles', 'footage', 'credit', 'episode', 'shot', 'sequence', 'credits', 'caption']","""bus"" is to ""conductor"" as ""movie"" is to "
9,EN,orthography,spelling,shirt,"['button', 'collar', 'dickey', 'sleeve', 'buttons', 'pocket', 'shirttail', 'shirtsleeve', 'shirtfront', 'shirt_button']","""orthography"" is to ""spelling"" as ""shirt"" is to "
10,EN,academia,institute,day,"['hour', 'forenoon', 'eventide', 'nanosecond', 'noonday', 'femtosecond', 'hr', 'minutes', 'microsecond', 'msec', 'time', 'midnight', 'sec', 'nighttime', 'min', 'morning', 'noon', 'evening', 'dark', 'picosecond', 'daytime', 'minute', 'daylight', 's', 'high', 'quarter', 'second', 'afternoon', 'twelve', 'midday', 'midafternoon', 'attosecond', 'night', 'morning_time', 'high_noon', 'half-hour', 'twelve_noon', 'late-night_hour', 'early-morning_hour', 'lights-out', '60_minutes', 'small_hours', '30_minutes', '15_minutes', 'quarter-hour']","""academia"" is to ""institute"" as ""day"" is to "
11,EN,church,altar,day,"['hour', 'forenoon', 'eventide', 'nanosecond', 'noonday', 'femtosecond', 'hr', 'minutes', 'microsecond', 'msec', 'time', 'midnight', 'sec', 'nighttime', 'min', 'morning', 'noon', 'evening', 'dark', 'picosecond', 'daytime', 'minute', 'daylight', 's', 'high', 'quarter', 'second', 'afternoon', 'twelve', 'midday', 'midafternoon', 'attosecond', 'night', 'morning_time', 'high_noon', 'half-hour', 'twelve_noon', 'late-night_hour', 'early-morning_hour', 'lights-out', '60_minutes', 'small_hours', '30_minutes', '15_minutes', 'quarter-hour']","""church"" is to ""altar"" as ""day"" is to "
12,EN,torso,acromion,seafront,"['harbor', 'seaport', 'dock', 'anchorage', 'landing', 'dockage', 'anchorage_ground', 'docking_facility', 'landing_place', 'landing_stage']","""torso"" is to ""acromion"" as ""seafront"" is to "
