,ID,Relation,Source,Target,EL
0,L02_1,hypernyms - misc,armchair,,πολυθρόνα
1,,,,chair,καρέκλα
2,,,,seat,κάθισμα
3,,,,piece_of_furniture,έπιπλο
4,,,,article_of_furniture,DUPLICATE_έπιπλο
5,,,,furnishing,επίπλωση
6,,,,artifact,κατασκεύασμα
7,,,,artefact,DUPLICATE_κατασκεύασμα
8,,,,unit,μονάδα
9,,,,object,αντικείμενο
10,,,,physical_object,φυσικό_αντικείμενο
11,,,,physical_entity,φυσική_οντότητα
12,,,,entity,οντότητα
13,,,,,"κατασκευή,τεχνούργημα"
14,L02_2,hypernyms - misc,blender,,μπλέντερ
15,,,,appliance,συσκευή
16,,,,mixer,μίξερ
17,,,,kitchen_utensil,μαγειρικό_σκεύος
18,,,,utensil,σκεύος
19,,,,implement,εργαλείο
20,,,,artifact,κατασκεύασμα
21,,,,artefact,DUPLICATE_κατασκεύασμα
22,,,,unit,μονάδα
23,,,,object,αντικείμενο
24,,,,physical_object,φυσικό_αντικείμενο
25,,,,physical_entity,φυσική_οντότητα
26,,,,entity,οντότητα
27,,,,,"κατασκευή,τεχνούργημα,κουζινικό,εργαλείο_κουζίνας"
28,L02_3,hypernyms - misc,bracelet,,βραχιόλι
29,,,,jewelry,κόσμημα
30,,,,band,μπάντα
31,,,,strip,ταινία
32,,,,slip,NO_TRANSLATION
33,,,,artifact,κατασκεύασμα
34,,,,artefact,DUPLICATE_κατασκεύασμα
35,,,,unit,μονάδα
36,,,,object,αντικείμενο
37,,,,physical_object,φυσικό_αντικείμενο
38,,,,physical_entity,φυσική_οντότητα
39,,,,entity,οντότητα
40,,,,jewellery,DUPLICATE_κόσμημα
41,,,,adornment,στολισμός
42,,,,decoration,διακόσμηση
43,,,,ornament,στολίδι
44,,,,ornamentation,DUPLICATE_στολισμός
45,,,,,"χειροπέδα,κατασκευή,τεχνούργημα"
46,L02_4,hypernyms - misc,brooch,,καρφίτσα
47,,,,jewelry,κόσμημα
48,,,,jewellery,DUPLICATE_κόσμημα
49,,,,adornment,στολισμός
50,,,,decoration,διακόσμηση
51,,,,ornament,στολίδι
52,,,,ornamentation,DUPLICATE_στολισμός
53,,,,artifact,κατασκεύασμα
54,,,,artefact,DUPLICATE_κατασκεύασμα
55,,,,unit,μονάδα
56,,,,object,αντικείμενο
57,,,,physical_object,φυσικό_αντικείμενο
58,,,,,"κατασκευή,τεχνούργημα"
59,L02_5,hypernyms - misc,cake,,κέικ
60,,,,dessert,επιδόρπιο
61,,,,baked_goods,ψημένο_αγαθό
62,,,,food,τρόφιμο
63,,,,solid_food,στερεά_τροφή
64,,,,course,πιάτο
65,,,,nutriment,θρεπτική_ουσία
66,,,,nourishment,DUPLICATE_τροφή
67,,,,nutrition,διατροφή
68,,,,sustenance,DUPLICATE_διατροφή
69,,,,aliment,DUPLICATE_τρόφιμο
70,,,,alimentation,DUPLICATE_διατροφή
71,,,,victuals,DUPLICATE_τρόφιμο
72,,,,nutrient,θρεπτικό_συστατικό
73,,,,substance,ουσία
74,,,,matter,ύλη
75,,,,physical_entity,φυσική_οντότητα
76,,,,entity,οντότητα
78,L02_6,hypernyms - misc,computer,,υπολογιστής
79,,,,device,συσκευή
80,,,,machine,μηχανή
81,,,,gadget,επινόημα
82,,,,artifact,κατασκεύασμα
83,,,,artefact,DUPLICATE_κατασκεύασμα
84,,,,unit,μονάδα
85,,,,object,αντικείμενο
86,,,,physical_object,φυσικό_αντικείμενο
87,,,,physical_entity,φυσική_οντότητα
88,,,,entity,οντότητα
103,,,,,"μηχάνημα,γκάτζετ,κατασκευή,τεχνούργημα"
104,L02_7,hypernyms - misc,croissant,,κρουασάν
105,,,,pastry,γλυκό
106,,,,bun,ψωμάκι
107,,,,roll,αρτίσκος
108,,,,bread,ψωμί
109,,,,breadstuff,αρτοσκεύασμα
110,,,,staff_of_life,NO_TRANSLATION
111,,,,baked_goods,ψημένο_αγαθό
112,,,,starches,άμυλο
113,,,,food,τρόφιμο
114,,,,solid_food,στερεά_τροφή
115,,,,foodstuff,DUPLICATE_τρόφιμο
116,,,,food_product,προϊόν_διατροφής
117,,,,solid,στερεό
118,,,,nutrient,θρεπτικό_συστατικό
119,,,,matter,ύλη
120,,,,substance,ουσία
121,,,,physical_entity,φυσική_οντότητα
122,,,,entity,οντότητα
124,L02_8,hypernyms - misc,cup,,φλιτζάνι
125,,,,tableware,επιτραπέζιο_σκεύος
