,Language,a,b,c,d,prompts
0,EN,spouse,better_half,rock,['stone'],"""spouse"" is to ""better_half"" as ""rock"" is to "
1,EN,rational,coherent,rational,"['logical', 'coherent', 'reasonable', 'sane']","""rational"" is to ""coherent"" as ""rational"" is to "
2,EN,murder,slaying,spouse,"['partner', 'mate', 'better_half']","""murder"" is to ""slaying"" as ""spouse"" is to "
3,EN,homogeneous,unvarying,spouse,"['partner', 'mate', 'better_half']","""homogeneous"" is to ""unvarying"" as ""spouse"" is to "
4,EN,monument,memorial,rational,"['logical', 'coherent', 'reasonable', 'sane']","""monument"" is to ""memorial"" as ""rational"" is to "
5,EN,new,recent,rock,['stone'],"""new"" is to ""recent"" as ""rock"" is to "
6,EN,organized,reorganized,homogeneous,"['uniform', 'unvarying']","""organized"" is to ""reorganized"" as ""homogeneous"" is to "
7,EN,vocabulary,glossary,vocabulary,"['lexicon', 'dictionary', 'glossary']","""vocabulary"" is to ""glossary"" as ""vocabulary"" is to "
8,EN,incorrect,unsound,murder,"['slaying', 'slay', 'execution']","""incorrect"" is to ""unsound"" as ""murder"" is to "
9,EN,monument,memorial,new,"['modern', 'recent']","""monument"" is to ""memorial"" as ""new"" is to "
10,EN,homogeneous,unvarying,monument,['memorial'],"""homogeneous"" is to ""unvarying"" as ""monument"" is to "
11,EN,incorrect,unsound,organized,"['arranged', 'configured', 'incorporated', 're-formed', 'reorganized']","""incorrect"" is to ""unsound"" as ""organized"" is to "
12,EN,spouse,better_half,new,"['modern', 'recent']","""spouse"" is to ""better_half"" as ""new"" is to "
13,EN,spouse,better_half,spouse,"['partner', 'mate', 'better_half']","""spouse"" is to ""better_half"" as ""spouse"" is to "
14,EN,new,recent,vocabulary,"['lexicon', 'dictionary', 'glossary']","""new"" is to ""recent"" as ""vocabulary"" is to "
15,EN,rational,logical,phone,"['cell', 'smartphone']","""rational"" is to ""logical"" as ""phone"" is to "
16,EN,spouse,better_half,phone,"['cell', 'smartphone']","""spouse"" is to ""better_half"" as ""phone"" is to "
17,EN,rational,reasonable,monument,['memorial'],"""rational"" is to ""reasonable"" as ""monument"" is to "
18,EN,rational,coherent,monument,['memorial'],"""rational"" is to ""coherent"" as ""monument"" is to "
19,EN,vocabulary,glossary,incorrect,"['counterfactual', 'erroneous', 'inaccurate', 'specious', 'unsound', 'untrue']","""vocabulary"" is to ""glossary"" as ""incorrect"" is to "
20,EN,incorrect,counterfactual,murder,"['slaying', 'slay', 'execution']","""incorrect"" is to ""counterfactual"" as ""murder"" is to "
21,EN,incorrect,counterfactual,rational,"['logical', 'coherent', 'reasonable', 'sane']","""incorrect"" is to ""counterfactual"" as ""rational"" is to "
22,EN,murder,slaying,rock,['stone'],"""murder"" is to ""slaying"" as ""rock"" is to "
23,EN,vocabulary,lexicon,spouse,"['partner', 'mate', 'better_half']","""vocabulary"" is to ""lexicon"" as ""spouse"" is to "
24,EN,rational,logical,incorrect,"['counterfactual', 'erroneous', 'inaccurate', 'specious', 'unsound', 'untrue']","""rational"" is to ""logical"" as ""incorrect"" is to "
25,EN,spouse,better_half,rational,"['logical', 'coherent', 'reasonable', 'sane']","""spouse"" is to ""better_half"" as ""rational"" is to "
26,EN,phone,cell,rational,"['logical', 'coherent', 'reasonable', 'sane']","""phone"" is to ""cell"" as ""rational"" is to "
27,EN,new,recent,incorrect,"['counterfactual', 'erroneous', 'inaccurate', 'specious', 'unsound', 'untrue']","""new"" is to ""recent"" as ""incorrect"" is to "
28,EN,spouse,better_half,rock,['stone'],"""spouse"" is to ""better_half"" as ""rock"" is to "
29,EN,vocabulary,lexicon,vocabulary,"['lexicon', 'dictionary', 'glossary']","""vocabulary"" is to ""lexicon"" as ""vocabulary"" is to "
30,SL,zakonec,boljša_polovica,skala,['kamen'],"Beseda ""zakonec"" je besedi ""boljša_polovica"" enako, kot je beseda ""skala"" besedi "
31,SL,razumno,koherentno,razumno,"['logično', 'koherentno', 'razumljivo', 'zdravo']","Beseda ""razumno"" je besedi ""koherentno"" enako, kot je beseda ""razumno"" besedi "
32,SL,umor,ubijanje,zakonec,"['partner', 'sopotnik', 'boljša_polovica']","Beseda ""umor"" je besedi ""ubijanje"" enako, kot je beseda ""zakonec"" besedi "
33,SL,homogeno,univarialno,zakonec,"['partner', 'sopotnik', 'boljša_polovica']","Beseda ""homogeno"" je besedi ""univarialno"" enako, kot je beseda ""zakonec"" besedi "
34,SL,spomenik,spomin,razumno,"['logično', 'koherentno', 'razumljivo', 'zdravo']","Beseda ""spomenik"" je besedi ""spomin"" enako, kot je beseda ""razumno"" besedi "
35,SL,novo,sodobno,skala,['kamen'],"Beseda ""novo"" je besedi ""sodobno"" enako, kot je beseda ""skala"" besedi "
36,SL,organizirano,reorganizirano,homogeno,"['uniformno', 'univarialno']","Beseda ""organizirano"" je besedi ""reorganizirano"" enako, kot je beseda ""homogeno"" besedi "
37,SL,tezaver,glosar,tezaver,"['leksikon', 'besednik', 'slovar', 'glosar']","Beseda ""tezaver"" je besedi ""glosar"" enako, kot je beseda ""tezaver"" besedi "
38,SL,napačno,nepravilno,umor,"['ubijanje', 'uboj', 'eksekucija']","Beseda ""napačno"" je besedi ""nepravilno"" enako, kot je beseda ""umor"" besedi "
39,SL,spomenik,spomin,novo,"['moderno', 'sodobno']","Beseda ""spomenik"" je besedi ""spomin"" enako, kot je beseda ""novo"" besedi "
40,SL,homogeno,univarialno,spomenik,['spomin'],"Beseda ""homogeno"" je besedi ""univarialno"" enako, kot je beseda ""spomenik"" besedi "
41,SL,napačno,nepravilno,organizirano,"['urejeno', 'nastavljeno', 'korporativno', 'vključeno', 'ponovno_oblikovano', 'reorganizirano']","Beseda ""napačno"" je besedi ""nepravilno"" enako, kot je beseda ""organizirano"" besedi "
42,SL,zakonec,boljša_polovica,novo,"['moderno', 'sodobno']","Beseda ""zakonec"" je besedi ""boljša_polovica"" enako, kot je beseda ""novo"" besedi "
43,SL,zakonec,boljša_polovica,zakonec,"['partner', 'sopotnik', 'boljša_polovica']","Beseda ""zakonec"" je besedi ""boljša_polovica"" enako, kot je beseda ""zakonec"" besedi "
44,SL,novo,sodobno,tezaver,"['leksikon', 'besednik', 'slovar', 'glosar']","Beseda ""novo"" je besedi ""sodobno"" enako, kot je beseda ""tezaver"" besedi "
45,SL,razumno,logično,telefon,"['mobilnik', 'mobilni_telefon', 'pametni_telefon']","Beseda ""razumno"" je besedi ""logično"" enako, kot je beseda ""telefon"" besedi "
46,SL,zakonec,boljša_polovica,telefon,"['mobilnik', 'mobilni_telefon', 'pametni_telefon']","Beseda ""zakonec"" je besedi ""boljša_polovica"" enako, kot je beseda ""telefon"" besedi "
47,SL,razumno,razumljivo,spomenik,['spomin'],"Beseda ""razumno"" je besedi ""razumljivo"" enako, kot je beseda ""spomenik"" besedi "
48,SL,razumno,koherentno,spomenik,['spomin'],"Beseda ""razumno"" je besedi ""koherentno"" enako, kot je beseda ""spomenik"" besedi "
49,SL,tezaver,glosar,napačno,"['narobe', 'nasprotno', 'zmotno', 'netočno', 'navidezno', 'nepravilno', 'neresnično', 'napačen']","Beseda ""tezaver"" je besedi ""glosar"" enako, kot je beseda ""napačno"" besedi "
50,SL,napačno,nasprotno,umor,"['ubijanje', 'uboj', 'eksekucija']","Beseda ""napačno"" je besedi ""nasprotno"" enako, kot je beseda ""umor"" besedi "
51,SL,napačno,nasprotno,razumno,"['logično', 'koherentno', 'razumljivo', 'zdravo']","Beseda ""napačno"" je besedi ""nasprotno"" enako, kot je beseda ""razumno"" besedi "
52,SL,umor,ubijanje,skala,['kamen'],"Beseda ""umor"" je besedi ""ubijanje"" enako, kot je beseda ""skala"" besedi "
53,SL,tezaver,leksikon,zakonec,"['partner', 'sopotnik', 'boljša_polovica']","Beseda ""tezaver"" je besedi ""leksikon"" enako, kot je beseda ""zakonec"" besedi "
54,SL,razumno,logično,napačno,"['narobe', 'nasprotno', 'zmotno', 'netočno', 'navidezno', 'nepravilno', 'neresnično', 'napačen']","Beseda ""razumno"" je besedi ""logično"" enako, kot je beseda ""napačno"" besedi "
55,SL,zakonec,boljša_polovica,razumno,"['logično', 'koherentno', 'razumljivo', 'zdravo']","Beseda ""zakonec"" je besedi ""boljša_polovica"" enako, kot je beseda ""razumno"" besedi "
56,SL,telefon,mobilnik,razumno,"['logično', 'koherentno', 'razumljivo', 'zdravo']","Beseda ""telefon"" je besedi ""mobilnik"" enako, kot je beseda ""razumno"" besedi "
57,SL,novo,sodobno,napačno,"['narobe', 'nasprotno', 'zmotno', 'netočno', 'navidezno', 'nepravilno', 'neresnično', 'napačen']","Beseda ""novo"" je besedi ""sodobno"" enako, kot je beseda ""napačno"" besedi "
58,SL,zakonec,boljša_polovica,skala,['kamen'],"Beseda ""zakonec"" je besedi ""boljša_polovica"" enako, kot je beseda ""skala"" besedi "
59,SL,tezaver,leksikon,tezaver,"['leksikon', 'besednik', 'slovar', 'glosar']","Beseda ""tezaver"" je besedi ""leksikon"" enako, kot je beseda ""tezaver"" besedi "
60,SK,manželský_partner,lepšia_polovička,kameň,['skala'],"Slovo ""manželský_partner""  sa má k slovu ""lepšia_polovička"" ako slovo ""kameň"" k slovu "
61,SK,racionálny,koherentný,racionálny,"['logický', 'koherentný', 'rozumný', 'pri_zmysloch']","Slovo ""racionálny""  sa má k slovu ""koherentný"" ako slovo ""racionálny"" k slovu "
62,SK,vražda,zabíjanie,manželský_partner,"['partner', 'lepšia_polovička']","Slovo ""vražda""  sa má k slovu ""zabíjanie"" ako slovo ""manželský_partner"" k slovu "
63,SK,homogénny,nemenný,manželský_partner,"['partner', 'lepšia_polovička']","Slovo ""homogénny""  sa má k slovu ""nemenný"" ako slovo ""manželský_partner"" k slovu "
64,SK,monument,pamätník,racionálny,"['logický', 'koherentný', 'rozumný', 'pri_zmysloch']","Slovo ""monument""  sa má k slovu ""pamätník"" ako slovo ""racionálny"" k slovu "
65,SK,nový,nedávny,kameň,['skala'],"Slovo ""nový""  sa má k slovu ""nedávny"" ako slovo ""kameň"" k slovu "
66,SK,organizovaný,reorganizovaný,homogénny,"['uniformný', 'nemenný']","Slovo ""organizovaný""  sa má k slovu ""reorganizovaný"" ako slovo ""homogénny"" k slovu "
67,SK,slovná_zásoba,glosár,slovná_zásoba,"['lexikón', 'slovník', 'glosár']","Slovo ""slovná_zásoba""  sa má k slovu ""glosár"" ako slovo ""slovná_zásoba"" k slovu "
68,SK,nesprávny,nekonzistentný,vražda,"['zabíjanie', 'zabitie', 'poprava']","Slovo ""nesprávny""  sa má k slovu ""nekonzistentný"" ako slovo ""vražda"" k slovu "
69,SK,monument,pamätník,nový,"['moderný', 'nedávny']","Slovo ""monument""  sa má k slovu ""pamätník"" ako slovo ""nový"" k slovu "
70,SK,homogénny,nemenný,monument,['pamätník'],"Slovo ""homogénny""  sa má k slovu ""nemenný"" ako slovo ""monument"" k slovu "
71,SK,nesprávny,nekonzistentný,organizovaný,"['usporiadaný', 'nakonfigurovaný', 'reorganizovaný', 'združený']","Slovo ""nesprávny""  sa má k slovu ""nekonzistentný"" ako slovo ""organizovaný"" k slovu "
72,SK,manželský_partner,lepšia_polovička,nový,"['moderný', 'nedávny']","Slovo ""manželský_partner""  sa má k slovu ""lepšia_polovička"" ako slovo ""nový"" k slovu "
73,SK,manželský_partner,lepšia_polovička,manželský_partner,"['partner', 'lepšia_polovička']","Slovo ""manželský_partner""  sa má k slovu ""lepšia_polovička"" ako slovo ""manželský_partner"" k slovu "
74,SK,nový,nedávny,slovná_zásoba,"['lexikón', 'slovník', 'glosár']","Slovo ""nový""  sa má k slovu ""nedávny"" ako slovo ""slovná_zásoba"" k slovu "
75,SK,racionálny,logický,telefón,"['mobilný_telefón', 'mobil', 'smartfón']","Slovo ""racionálny""  sa má k slovu ""logický"" ako slovo ""telefón"" k slovu "
76,SK,manželský_partner,lepšia_polovička,telefón,"['mobilný_telefón', 'mobil', 'smartfón']","Slovo ""manželský_partner""  sa má k slovu ""lepšia_polovička"" ako slovo ""telefón"" k slovu "
77,SK,racionálny,rozumný,monument,['pamätník'],"Slovo ""racionálny""  sa má k slovu ""rozumný"" ako slovo ""monument"" k slovu "
78,SK,racionálny,koherentný,monument,['pamätník'],"Slovo ""racionálny""  sa má k slovu ""koherentný"" ako slovo ""monument"" k slovu "
79,SK,slovná_zásoba,glosár,nesprávny,"['zlý', 'kontrafaktuálny', 'chybný', 'nepresný', 'zdanlivý', 'nekonzistentný', 'nepravdivý', 'nenáležitý,nekorektný,klamlivý']","Slovo ""slovná_zásoba""  sa má k slovu ""glosár"" ako slovo ""nesprávny"" k slovu "
80,SK,nesprávny,kontrafaktuálny,vražda,"['zabíjanie', 'zabitie', 'poprava']","Slovo ""nesprávny""  sa má k slovu ""kontrafaktuálny"" ako slovo ""vražda"" k slovu "
81,SK,nesprávny,kontrafaktuálny,racionálny,"['logický', 'koherentný', 'rozumný', 'pri_zmysloch']","Slovo ""nesprávny""  sa má k slovu ""kontrafaktuálny"" ako slovo ""racionálny"" k slovu "
82,SK,vražda,zabíjanie,kameň,['skala'],"Slovo ""vražda""  sa má k slovu ""zabíjanie"" ako slovo ""kameň"" k slovu "
83,SK,slovná_zásoba,lexikón,manželský_partner,"['partner', 'lepšia_polovička']","Slovo ""slovná_zásoba""  sa má k slovu ""lexikón"" ako slovo ""manželský_partner"" k slovu "
84,SK,racionálny,logický,nesprávny,"['zlý', 'kontrafaktuálny', 'chybný', 'nepresný', 'zdanlivý', 'nekonzistentný', 'nepravdivý', 'nenáležitý,nekorektný,klamlivý']","Slovo ""racionálny""  sa má k slovu ""logický"" ako slovo ""nesprávny"" k slovu "
85,SK,manželský_partner,lepšia_polovička,racionálny,"['logický', 'koherentný', 'rozumný', 'pri_zmysloch']","Slovo ""manželský_partner""  sa má k slovu ""lepšia_polovička"" ako slovo ""racionálny"" k slovu "
86,SK,telefón,mobilný_telefón,racionálny,"['logický', 'koherentný', 'rozumný', 'pri_zmysloch']","Slovo ""telefón""  sa má k slovu ""mobilný_telefón"" ako slovo ""racionálny"" k slovu "
87,SK,nový,nedávny,nesprávny,"['zlý', 'kontrafaktuálny', 'chybný', 'nepresný', 'zdanlivý', 'nekonzistentný', 'nepravdivý', 'nenáležitý,nekorektný,klamlivý']","Slovo ""nový""  sa má k slovu ""nedávny"" ako slovo ""nesprávny"" k slovu "
88,SK,manželský_partner,lepšia_polovička,kameň,['skala'],"Slovo ""manželský_partner""  sa má k slovu ""lepšia_polovička"" ako slovo ""kameň"" k slovu "
89,SK,slovná_zásoba,lexikón,slovná_zásoba,"['lexikón', 'slovník', 'glosár']","Slovo ""slovná_zásoba""  sa má k slovu ""lexikón"" ako slovo ""slovná_zásoba"" k slovu "
90,HE,בן_זוג,חצי_טוב_יותר,סלע,['אֶבֶן']," ל ""סלע"" כ ""חצי_טוב_יותר"" ל ""בן_זוג"""
91,HE,רַצִיוֹנָלִי,קוהרנטי,רַצִיוֹנָלִי,"['הגיוני', 'קוהרנטי', 'סביר', 'שפוי_בדעתו']"," ל ""רַצִיוֹנָלִי"" כ ""קוהרנטי"" ל ""רַצִיוֹנָלִי"""
92,HE,רֶצַח,הֶרֶג,בן_זוג,"['שותף', 'חצי_טוב_יותר']"," ל ""בן_זוג"" כ ""הֶרֶג"" ל ""רֶצַח"""
93,HE,הוֹמוֹגֵנִי,לא_משתנה,בן_זוג,"['שותף', 'חצי_טוב_יותר']"," ל ""בן_זוג"" כ ""לא_משתנה"" ל ""הוֹמוֹגֵנִי"""
94,HE,אַנדַרטָה,זִכָּרוֹן,רַצִיוֹנָלִי,"['הגיוני', 'קוהרנטי', 'סביר', 'שפוי_בדעתו']"," ל ""רַצִיוֹנָלִי"" כ ""זִכָּרוֹן"" ל ""אַנדַרטָה"""
95,HE,חָדָשׁ,לאחרונה,סלע,['אֶבֶן']," ל ""סלע"" כ ""לאחרונה"" ל ""חָדָשׁ"""
96,HE,מְאוּרגָן,ארגון_מחדש,הוֹמוֹגֵנִי,"['אחיד', 'לא_משתנה']"," ל ""הוֹמוֹגֵנִי"" כ ""ארגון_מחדש"" ל ""מְאוּרגָן"""
97,HE,אוצר_מילים,מילון_מונחים,אוצר_מילים,"['לֵקסִיקוֹן', 'ספר_מילים', 'מילון', 'מילון_מונחים']"," ל ""אוצר_מילים"" כ ""מילון_מונחים"" ל ""אוצר_מילים"""
98,HE,לא_נכון,רָעוּעַ,רֶצַח,"['הֶרֶג', 'לִקְטוֹל', 'הוצאה_להורג']"," ל ""רֶצַח"" כ ""רָעוּעַ"" ל ""לא_נכון"""
99,HE,אַנדַרטָה,זִכָּרוֹן,חָדָשׁ,"['מוֹדֶרנִי', 'לאחרונה']"," ל ""חָדָשׁ"" כ ""זִכָּרוֹן"" ל ""אַנדַרטָה"""
100,HE,הוֹמוֹגֵנִי,לא_משתנה,אַנדַרטָה,['זִכָּרוֹן']," ל ""אַנדַרטָה"" כ ""לא_משתנה"" ל ""הוֹמוֹגֵנִי"""
101,HE,לא_נכון,רָעוּעַ,מְאוּרגָן,"['מְסוּדָר', 'מוגדר', 'תאגידי', 'משולב', 'נוצר_מחדש', 'ארגון_מחדש']"," ל ""מְאוּרגָן"" כ ""רָעוּעַ"" ל ""לא_נכון"""
102,HE,בן_זוג,חצי_טוב_יותר,חָדָשׁ,"['מוֹדֶרנִי', 'לאחרונה']"," ל ""חָדָשׁ"" כ ""חצי_טוב_יותר"" ל ""בן_זוג"""
103,HE,בן_זוג,חצי_טוב_יותר,בן_זוג,"['שותף', 'חצי_טוב_יותר']"," ל ""בן_זוג"" כ ""חצי_טוב_יותר"" ל ""בן_זוג"""
104,HE,חָדָשׁ,לאחרונה,אוצר_מילים,"['לֵקסִיקוֹן', 'ספר_מילים', 'מילון', 'מילון_מונחים']"," ל ""אוצר_מילים"" כ ""לאחרונה"" ל ""חָדָשׁ"""
105,HE,רַצִיוֹנָלִי,הגיוני,טלפון,"['תָא', 'טלפון_נייד', 'סמארטפון']"," ל ""טלפון"" כ ""הגיוני"" ל ""רַצִיוֹנָלִי"""
106,HE,בן_זוג,חצי_טוב_יותר,טלפון,"['תָא', 'טלפון_נייד', 'סמארטפון']"," ל ""טלפון"" כ ""חצי_טוב_יותר"" ל ""בן_זוג"""
107,HE,רַצִיוֹנָלִי,סביר,אַנדַרטָה,['זִכָּרוֹן']," ל ""אַנדַרטָה"" כ ""סביר"" ל ""רַצִיוֹנָלִי"""
108,HE,רַצִיוֹנָלִי,קוהרנטי,אַנדַרטָה,['זִכָּרוֹן']," ל ""אַנדַרטָה"" כ ""קוהרנטי"" ל ""רַצִיוֹנָלִי"""
109,HE,אוצר_מילים,מילון_מונחים,לא_נכון,"['לא_בסדר', 'נגדי', 'לא_מדויק', 'מַטעֶה', 'רָעוּעַ', 'כּוֹזֵב']"," ל ""לא_נכון"" כ ""מילון_מונחים"" ל ""אוצר_מילים"""
110,HE,לא_נכון,נגדי,רֶצַח,"['הֶרֶג', 'לִקְטוֹל', 'הוצאה_להורג']"," ל ""רֶצַח"" כ ""נגדי"" ל ""לא_נכון"""
111,HE,לא_נכון,נגדי,רַצִיוֹנָלִי,"['הגיוני', 'קוהרנטי', 'סביר', 'שפוי_בדעתו']"," ל ""רַצִיוֹנָלִי"" כ ""נגדי"" ל ""לא_נכון"""
112,HE,רֶצַח,הֶרֶג,סלע,['אֶבֶן']," ל ""סלע"" כ ""הֶרֶג"" ל ""רֶצַח"""
113,HE,אוצר_מילים,לֵקסִיקוֹן,בן_זוג,"['שותף', 'חצי_טוב_יותר']"," ל ""בן_זוג"" כ ""לֵקסִיקוֹן"" ל ""אוצר_מילים"""
114,HE,רַצִיוֹנָלִי,הגיוני,לא_נכון,"['לא_בסדר', 'נגדי', 'לא_מדויק', 'מַטעֶה', 'רָעוּעַ', 'כּוֹזֵב']"," ל ""לא_נכון"" כ ""הגיוני"" ל ""רַצִיוֹנָלִי"""
115,HE,בן_זוג,חצי_טוב_יותר,רַצִיוֹנָלִי,"['הגיוני', 'קוהרנטי', 'סביר', 'שפוי_בדעתו']"," ל ""רַצִיוֹנָלִי"" כ ""חצי_טוב_יותר"" ל ""בן_זוג"""
