,ID,Relation,Source,Target,EL
0,L07_1,synonyms - intensity,afraid,,φοβισμένος
1,,,,terrified,τρομοκρατημένος
2,,,,horrified,DUPLICATE_τρομοκρατημένος
3,,,,scared,DUPLICATE_φοβισμένος
4,,,,stiff,σφιγμένος
5,,,,petrified,πετρωμένος
6,,,,fearful,γεμάτος_φόβο
7,,,,panicky,πανικόβλητος
9,L07_2,synonyms - intensity,angry,,θυμωμένος
10,,,,furious,έξαλλος
11,,,,enraged,οργισμένος
12,,,,outraged,εξοργισμένος
13,,,,aggrivated,νευριασμένος
14,,,,irate,τσαντισμένος
15,,,,seething,DUPLICATE_θυμωμένος
17,L07_3,synonyms - intensity,ask,,ζητάω
18,,,,beg,παρακαλάω
19,,,,implore,ικετεύω
20,,,,pray,προσεύχομαι
21,,,,entreat,εκλιπαρώ
22,,,,supplicate,DUPLICATE_εκλιπαρώ
23,,,,insist,επιμένω
25,L07_4,synonyms - intensity,bad,,κακός
26,,,,awful,απαίσιος
27,,,,atrocious,απεχθής
28,,,,abominable,αποκρουστικός
29,,,,dreadful,τρομακτικός
30,,,,painful,οδυνηρός
31,,,,terrible,τρομερός
32,,,,unspeakable,ανείπωτος
34,L07_5,synonyms - intensity,boring,,βαρετός
35,,,,tedious,ανιαρός
36,,,,deadening,παραλυτικός
37,,,,dull,μονότονος
38,,,,ho-hum,NO_TRANSLATION
39,,,,irksome,ενοχλητικός
40,,,,tiresome,κουραστικός
41,,,,wearisome,κοπιαστικός
43,L07_6,synonyms - intensity,cat,,γάτα
44,,,,lion,λιοντάρι
45,,,,tiger,τίγρης
46,,,,leopard,λεοπάρδαλη
47,,,,panther,πάνθηρας
48,,,,jaguar,ιαγουάρος
49,,,,,λέοντας
50,L07_7,synonyms - intensity,chuckle,,χαχανητό
51,,,,laugh,γέλιο
52,,,,guffaw,δυνατό_γέλιο
53,,,,chortle,κρυφό_γέλιο
54,,,,snicker,ειρωνικό_γέλιο
55,,,,snigger,DUPLICATE_ειρωνικό_γέλιο
56,,,,titter,νευρικό_γελάκι
57,,,,roar,βρυχηθμός
58,,,,,"γελάκι,πνιχτό_γέλιο"
59,L07_8,synonyms - intensity,confused,,μπερδεμένος
60,,,,lost,χαμένος
61,,,,bewildered,αγριεμένος
62,,,,trapped,παγιδευμένος
63,,,,desperate,απελπισμένος
64,,,,,"συγχυσμένος,μπλεγμένος"
65,L07_9,synonyms - intensity,creative,,δημιουργικός
66,,,,ingenious,ευρηματικός
67,,,,inventive,εφευρετικός
68,,,,demiurgic,DUPLICATE_δημιουργικός
69,,,,deviceful,πολυμήχανος
70,,,,innovational,καινοτόμος
71,,,,innovative,DUPLICATE_καινοτόμος
72,,,,innovatory,DUPLICATE_καινοτόμος
73,,,,original,πρωτότυπος
74,,,,originative,νεοτεριστικός
75,,,,,"δαιμόνιος,νεοτεριστής"
76,L07_10,synonyms - intensity,cry,,φωνή
77,,,,scream,ουρλιαχτό
78,,,,shriek,τσίριγμα
79,,,,screech,στριγκλιά
80,,,,screeching,στρίγκλισμα
82,L07_11,synonyms - intensity,damp,,υγρός
83,,,,drenched,νωτισμένος
84,,,,dripping,που_στάζει
85,,,,saturated,εμποτισμένος
86,,,,soaked,μουλιασμένος
87,,,,soaking,νωπός
88,,,,sodden,μουσκεμένος
89,,,,sopping,μούσκεμα
90,,,,soppy,DUPLICATE_μούσκεμα
91,,,,soused,καταβρεγμένος
92,,,,wringing-wet,μουσκίδι
93,,,,,διαποτισμένος
94,L07_12,synonyms - intensity,dinner,,δείπνο
95,,,,feast,γεύμα
96,,,,banquet,συμπόσιο
97,,,,fiesta,γιορτή
98,,,,,"επίσημο_δείπνο,φιέστα"
99,L07_13,synonyms - intensity,dislike,,αντιπαθώ
100,,,,hate,μισώ
101,,,,abhor,αποστρέφομαι
102,,,,detest,σιχαίνομαι
103,,,,loathe,απεχθάνομαι
104,,,,abominate,DUPLICATE_απεχθάνομαι
105,,,,execrate,DUPLICATE_απεχθάνομαι
106,,,,contemn,περιφρονώ
107,,,,despise,DUPLICATE_απεχθάνομαι
108,,,,scorn,καταφρονώ
109,,,,disdain,απαξιώνω
110,,,,,σνομπάρω
111,L07_14,synonyms - intensity,doze,,λαγοκοιμάμαι
112,,,,sleep,κοιμάμαι
113,,,,slumber,DUPLICATE_κοιμάμαι
